protocolVersion,userAgent,Height,Latitude,Longitude,ASN,Continent,organizationName
70015,Satoshi:0.18.0,658416,35.69,139.69,AS2907,Asia,"Research Organization of Information and Systems, National Institute of Informatics"
70015,Satoshi:0.20.0,658416,37.751,-97.822,AS7819,North America,GLOBAL-IP-NETWORKS
70015,Satoshi:0.18.1,658415,40.8364,-74.1403,AS14061,North America,DIGITALOCEAN-ASN
70015,Satoshi:0.20.0,658416,38.881,-77.1362,AS701,North America,UUNET
70015,Satoshi:0.18.0,658416,37.3388,-121.8914,AS16509,North America,AMAZON
70015,Satoshi:0.19.1,658415,51.2993,9.491,AS25486,Europe,'Lightup Network Solutions GmbH & Co. KG
70015,Satoshi:0.20.1,658416,47.4919,19.05,AS62292,Europe,EZIT Kft.
70015,Satoshi:0.20.0,658416,45.4512,-75.6033,AS812,North America,ROGERS-COMMUNICATIONS
70015,Satoshi:0.19.1,658416,37.9842,23.7353,AS3329,Europe,Vodafone-panafon Hellenic Telecommunications Company SA
70015,Satoshi:0.19.1,658416,55.7522,37.6156,AS39709,Europe,Extreme Ltd
70016,Satoshi:1.3.4,454935,37.5625,-122.0004,AS63949,North America,"Linode, LLC"
70015,Satoshi:0.20.1,658415,-37.8104,144.9544,AS38195,Australia,Superloop
70015,Satoshi:0.20.1,658416,34.7725,113.7266,AS37963,Asia,Hangzhou Alibaba
70015,Satoshi:0.20.0,658416,35.6731,139.4003,AS4713,Asia,NTT Communications Corporation
70015,Satoshi:0.18.0,658416,39.0481,-77.4728,AS14618,North America,AMAZON
70015,Satoshi:0.18.0,658416,40.793,-74.0247,AS14061,North America,DIGITALOCEAN-ASN
70015,Satoshi:0.17.1,658416,-33.4513,-70.6653,AS22047,South America,VTR BANDA ANCHA S.A.
70015,Satoshi:0.19.1,658415,-38.7167,-62.2833,AS27833,South America,BVNET S.A.
70015,Satoshi:0.20.1,658416,52.5378,5.6966,AS50673,Europe,Serverius Holding B.V.
70015,Satoshi:0.20.1,658416,40.793,-74.0247,AS14061,North America,DIGITALOCEAN-ASN
70015,Satoshi:0.20.1,658416,35.685,139.7514,AS15169,Asia,GOOGLE
70015,Others,658416,51.4964,-0.1224,AS8560,Europe,1&1 Ionos Se
70012,Others,658416,59.3247,18.055999999999997,AS50066,Europe,Serious Tubes Networks
70015,Others,658416,59.3667,18.1333,AS3301,Europe,Telia Company AB
70015,Others,658416,55.7386,37.6068,AS49505,Europe,OOO Network of data-centers Selectel
70015,Others,658415,42.6058,-87.8762,AS10796,North America,TWC-10796-MIDWEST
70015,Satoshi:0.20.1,658416,55.3333,86.0833,AS203493,Europe,Egor Timoshenko
70012,Others,658416,52.352,4.9392,AS14061,Europe,DIGITALOCEAN-ASN
70016,Satoshi:1.3.4,454935,-33.8591,151.2002,AS63949,Australia,"Linode, LLC"
70016,Satoshi:1.3.4,454935,50.1188,8.6843,AS63949,Europe,"Linode, LLC"
70015,Satoshi:0.20.0,658416,49.4195,26.9959,AS25229,Europe,Volia
70015,Satoshi:0.20.1,658415,40.8943,-73.9801,AS12271,North America,TWC-12271-NYC
70015,Satoshi:0.20.1,658415,26.0333,50.55,AS16509,Asia,AMAZON
70015,Satoshi:0.20.1,658416,10.8142,106.6438,AS45899,Asia,VNPT Corp
70015,Satoshi:0.20.0,658416,45.3042,-66.0766,AS855,North America,CANET-ASN-4
70015,Satoshi:0.20.1,658416,55.7386,37.6068,AS203226,Europe,Internet-Hosting Ltd
70015,Others,658416,54.6816,25.3225,AS5479,Europe,Kauno Technologijos Universitetas
70015,Satoshi:0.16.3,658416,48.8582,2.3387,AS16276,Europe,OVH SAS
70015,Satoshi:0.19.0.1,658416,55.7522,37.6156,AS35598,Europe,Inetcom LLC
70015,Satoshi:0.20.1,658416,60.1719,24.9347,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.1,658416,35.0,33.0,AS58209,Asia,KPT Network B.V.
70015,Satoshi:0.20.1,658415,41.2619,-95.8608,AS15169,North America,GOOGLE
70015,Satoshi:0.19.0.1,658416,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.20.1,658416,50.0848,14.4112,AS44489,Europe,"STARNET, s.r.o."
70015,Satoshi:0.20.1,658415,-33.9258,18.4232,AS16509,Africa,AMAZON
70015,Satoshi:0.18.0,658416,40.5511,-74.4606,AS20473,North America,AS-CHOOPA
70015,Satoshi:0.20.0,658416,47.3667,8.55,AS8758,Europe,Iway AG
88888,Others,658416,48.8582,2.3387,AS16276,Europe,OVH SAS
70015,Satoshi:0.20.1,658416,39.2092,-76.6681,AS701,North America,UUNET
70015,Satoshi:0.17.1,658416,48.1084,11.6102,AS51167,Europe,Contabo GmbH
70016,Satoshi:1.3.4,454934,-33.8591,151.2002,AS63949,Australia,"Linode, LLC"
70015,Satoshi:0.20.1,658415,1.2929,103.8547,AS15169,Asia,GOOGLE
70015,Satoshi:0.20.1,658415,37.4562,126.7288,AS16509,Asia,AMAZON
70015,Satoshi:0.20.0,658416,23.4815,120.4498,AS3462,Asia,Data Communication Business Group
70015,Satoshi:0.20.1,658416,42.6833,23.3167,AS44901,Europe,Belcloud LTD
70015,Others,658416,1.2929,103.8547,AS16509,Asia,AMAZON
70015,Satoshi:0.20.1,658416,60.2797,15.9886,AS3301,Europe,Telia Company AB
70016,Satoshi:1.3.4,454934,35.685,139.7514,AS63949,Asia,"Linode, LLC"
70015,Satoshi:0.20.0,658416,37.6736,-122.0944,AS7018,North America,ATT-INTERNET4
70015,Satoshi:0.20.1,658416,37.751,-97.822,AS45102,North America,"Alibaba (US) Technology Co., Ltd."
70015,Satoshi:0.20.0,658416,54.9523,-1.3663,AS13285,Europe,TalkTalk
70015,Satoshi:0.18.0,658416,37.751,-97.822,AS64249,North America,ENDOFFICE
70015,Satoshi:0.20.1,658416,50.1418,8.9174,AS6830,Europe,Liberty Global B.V.
