Node ID,URLv4:,eth,id,ASN_number,organization,country,city,ip,secp256k1,tcp,udp,les,vns,udp6,cap,gptc,ccm,ip6,snap
 0001f22a7e467703b2b1ee8813f89a45ac44a8cdd1b92d03a7e3b5a45982c51f,enode://b7d2eb9f3b369c687407b98f456136542c1c8ea679b0cf7258478d91c67eff5a224e1d55ac7bdb366fa60efa82419fa3fa0eac6dfab9eadebd3d8c0916a379ec@213.93.152.197:30303,c7c684e029e99180,v4,6830,Liberty Global B.V.,Netherlands,Amsterdam,213.93.152.197,a102b7d2eb9f3b369c687407b98f456136542c1c8ea679b0cf7258478d91c67eff5a,30303,30303,,,,,,,,
 0012493b225e1244822b3b401bcfb6a33679c74e9d2703007fe18b559f15f4a0,enode://f58fccd263ba322412ff3724466bbd774d3018b7fa00c88750b59c27e6079885fa01c97245adcbba7a1094ff8e5fda8071a283a01dab5ce72948f2cd9702ead5@195.176.181.148:30303,c7c684e029e99180,v4,559,SWITCH,Switzerland,Lugano,195.176.181.148,a103f58fccd263ba322412ff3724466bbd774d3018b7fa00c88750b59c27e6079885,30303,30303,,,,,,,,
 001dfa7038ef94df605764132186c5883341d025342997ba98801c936d69ad0f,enode://c1185adcef18752eed86e8cf7babe00ea5c3566df7e9b4a8ca9b8ef3988bfa28646f1791f9f87f33a64937c5c091a247e79ca2e3addd844fd5b59c3b152a001b@18.221.147.89:30303,c7c684c25efa5c80,v4,16509,AMAZON-02,United States,Columbus,18.221.147.89,a103c1185adcef18752eed86e8cf7babe00ea5c3566df7e9b4a8ca9b8ef3988bfa28,30303,30303,,,,,,,,
 002b534bd64f897dce67d0bb001861b1c2eeecca00715af7f8a42cb8ed4b982f,enode://256b5f9e0386dd1c0783106bffcf5d796c4d7a880e06c5c6c677e3a598a9d2a5346ae7043309a7538731bc12b855fe31a7e8a14a6703f5aa14437d452436198f@40.113.111.135:30303,c7c684e029e99180,v4,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Netherlands,Amsterdam,40.113.111.135,a103256b5f9e0386dd1c0783106bffcf5d796c4d7a880e06c5c6c677e3a598a9d2a5,30303,30303,,,,,,,,
 003e4af979ec48404eef2a1b8b6c8f6df7e4ba7974149606943ca86deac1ea18,enode://eff8a5686b67115ab138044bad75703d9f6e09599f6c845931daaa7d66f40791f92c83c244801a13d5fd95ae58cd18e631545f45b0057352fd5f9cc350c011a9@95.217.114.61:31303,c7c684e029e99180,v4,24940,Hetzner Online GmbH,Finland,Helsinki,95.217.114.61,a103eff8a5686b67115ab138044bad75703d9f6e09599f6c845931daaa7d66f40791,31303,31303,,,,,,,,
 004b260122a2f74cd4f53df53518ec848c1af123aebf3b0bbfbe9705bf837f26,enode://976ba95c2f8d0f87e34d5a0069bd92122eb6f20d09ea9deb6d05ec57fc82e3ffce200ebdb056a72f1b6de9e900334d55b0f3938a6b2dfad53b4691fad7405d37@168.119.172.111:30303,c7c6847049a50d80,v4,24940,Hetzner Online GmbH,Germany,,168.119.172.111,a103976ba95c2f8d0f87e34d5a0069bd92122eb6f20d09ea9deb6d05ec57fc82e3ff,30303,30303,,,,,,,,
 004de9662e3baa43cfb9cf1eae1fa4cbc19eb6bda8265c8992d67bd9e4e3a8ed,enode://1b2d0b035f6f466eeed04071a13593c57ae676c7271bfe96c52595ba868b30521b36c3df262407f68172c2f3c2b0e0c649cde4277fd8af8ab10678fc167682ea@47.190.133.209:30305,c7c684e615830180,v4,5650,FRONTIER-FRTR,United States,Denton,47.190.133.209,a1021b2d0b035f6f466eeed04071a13593c57ae676c7271bfe96c52595ba868b3052,30305,30305,,,,,,,,
 004edec36e598121f4b89ca41098442f2114e2808c99b4af8e9ac9555f6ea57f,enode://fc0cdea783dddd921a6382f86500de99c1eaae168843f6a6b1f09637ff63613110027457bc8307056fca8baa053295f6a0cdf5ca65f02f3a25743bdbd60905dd@35.196.25.109:30303,c7c684e029e99180,v4,15169,GOOGLE,United States,North Charleston,35.196.25.109,a103fc0cdea783dddd921a6382f86500de99c1eaae168843f6a6b1f09637ff636131,30303,30303,,,,,,,,
 007893dfaf9f54f339eb08bd478932ba095699640ee7d1c9ab91e5b66661d052,enode://fd3db063719f47fba7e80233aecb0046ba74ca6c6c1d38efb6152e16d15ddc8503d1e2a6ac7bd3b73e93fa9cab6e3461b3880ed37e7517769d78006a16a620da@54.164.251.194:20638,c7c68474389cd480,v4,14618,AMAZON-AES,United States,Ashburn,54.164.251.194,a102fd3db063719f47fba7e80233aecb0046ba74ca6c6c1d38efb6152e16d15ddc85,20638,20638,c0,,,,,,,
 0098785530217f057e6dd883d850692dc877767a34e0dc65bb9d9ef926ed1cc0,enode://c67329fd733014aa056f1947a2e7075bfae46e92d68c667bf068c67723d310e75ccb7d1a150917eb25e10739d990bc461501abe69951ebd46efb2bc6374630f8@167.86.105.31:30303,c7c684e029e99180,v4,51167,Contabo GmbH,Germany,Nuremberg,167.86.105.31,a102c67329fd733014aa056f1947a2e7075bfae46e92d68c667bf068c67723d310e7,30303,30303,,,,,,,,
 00a1693c53d81c93cdfc491081813028d5859da7fc6c009222086ecf9ca2cd50,enode://1dc441fac6b6b3bb84e1d342cd421c6cc518957515f43d68c2e39d6af339bf2255da33cd140a26a8956fbb7d42491a6ee71f0d1388acc577842495818fe0c809@37.59.51.94:30303,c7c684e029e99180,v4,16276,OVH SAS,France,,37.59.51.94,a1031dc441fac6b6b3bb84e1d342cd421c6cc518957515f43d68c2e39d6af339bf22,30303,30303,,,,,,,,
 00aeee2a88de159efae9893538f2fb6042fa6692336cc14cb8235fb18a31a8c1,enode://86f6592152185f7ed59dc56498b7c5951e54102df18972a957b2041eb4fb5c2819963a9b5720c06d01297435fa3acf38982cc5bf56d2adecd59795f4c35d585c@112.175.114.29:30303,c7c6846727ef9080,v4,4766,Korea Telecom,South Korea,,112.175.114.29,a10286f6592152185f7ed59dc56498b7c5951e54102df18972a957b2041eb4fb5c28,30303,30303,,,,,,,,
 00afcacd0bab56b890b9be93e80487e4a3721ea839380ff229e727b4635fcf0e,enode://c54e404bfee5dc0b9cc1e5bbfca02a1939f97711024b5dc9af537c499052ff5d4c020019ef548b51afa8f292d80c5ef9c34ddd0baa506bd2c98c74d7d6640e63@83.162.151.227:30304,c7c684e029e99180,v4,3265,Xs4all Internet BV,Netherlands,Rotterdam,83.162.151.227,a103c54e404bfee5dc0b9cc1e5bbfca02a1939f97711024b5dc9af537c499052ff5d,30304,30304,,,,,,,,
