,date,userName,isEdited,title,review,rating,developerResponse,review_basic_clean,sentiment,negative confidence score,neutral confidence score,positive confidence score,Key Phrases
0,2017-11-30 07:08:50,Stevojjjjjjj,False,Perfect,Easy to set up and fast to pay for fuel,5,"{'id': 2242676, 'body': 'Hi Stevo,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:25:06Z'}",Easy set fast pay fuel,positive,0.0,0.01,0.99,fuel
1,2017-11-30 11:57:13,Marfs89,False,Convenient and easy to use,Great payment option when filling up. Very slick app and easy to use,5,"{'id': 2242679, 'body': 'Hi Marfs,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:25:21Z'}",Great payment option filling Very slick app easy use,positive,0.0,0.0,1.0,"Great payment option, slick app"
2,2017-11-30 22:56:23,scriei,False,Easy paying!,Makes paying for fuel so much easier! Thanks BP!,5,"{'id': 2242684, 'body': 'Hi Scriei,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:25:41Z'}",Makes paying fuel much easier Thanks BP,positive,0.01,0.0,0.99,"fuel, BP"
3,2017-11-30 23:05:38,Jojoplustwo,False,Awesome App! Must have for parents!,What an awesome app! Super easy to use and solves the age old issue for parents of how to refuel with kids in the car!,5,"{'id': 2242687, 'body': 'Hi Jojo,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:25:59Z'}",What awesome app Super easy use solves age old issue parent refuel kid car,positive,0.0,0.01,0.99,"awesome app, old issue, age, parents, kids, car"
4,2017-11-30 23:43:28,Biter73,False,Awesome,Quick and Easy to use after initial set up,5,"{'id': 2242690, 'body': 'Hi there,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:26:14Z'}",Quick Easy use initial set,positive,0.0,0.0,1.0,initial set
5,2017-11-30 23:59:39,Ellejaay,False,Awesome! So convenient and easy to use. Love it!,Great that it shows you where service stations are and provides directions in a simple click.,5,"{'id': 2242692, 'body': 'Hi Elle,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:26:32Z'}",Great show service station provides direction simple click,positive,0.0,0.0,1.0,"service stations, simple click, directions"
6,2017-12-01 00:53:31,Da Man 56,False,Doesn’t register Velocity Points,"Although I haven’t used it as yet, I don’t think it allows you to collect Velocity points like I can when I’m paying for fuel in store. So, unless I want to give up on collecting my Velocity points, this app is more or less useless to me 🙄",1,"{'id': 1951629, 'body': ""Hi, For launch, we're focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. \n\nClaiming points and rewards aren't yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for  2018. Watch this space!"", 'modified': '2017-12-07T06:18:22Z'}",Although I havent used yet I dont think allows collect Velocity point like I Im paying fuel store So unless I want give collecting Velocity point app le useless,negative,1.0,0.0,0.0,"Velocity points, fuel, store, app"
7,2017-12-01 03:34:00,Cazb70,False,Love it,3 kids and I don't have to get them out of the car to go inside and pay.,5,"{'id': 2242695, 'body': 'Hi Caz,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:26:47Z'}",kid I dont get car go inside pay,neutral,0.07,0.88,0.05,"3 kids, car"
8,2017-12-01 04:33:47,Jayness33,False,No where to put Velocity Frequent Flyer,App seems okay but why no link up with Velocity? 😒,3,"{'id': 1999578, 'body': ""Hi,\nthanks for your feedback, we're glad you like the app.\nFor the initial BPme launch, we introduced the fuel payment function to help customers save time and we are planning a whole range of exciting new offers to make our customers lives easier, so watch this space."", 'modified': '2017-12-12T05:35:28Z'}",App seems okay link Velocity,negative,0.88,0.11,0.01,"App, Velocity"
9,2017-12-01 05:25:40,Dragin276,False,Great,"A very handy tool for all; quick, and. definitely very easy to use. An app like this makes life so. Much easier, a definite must have!",5,"{'id': 2242696, 'body': 'Hi Dragin,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:27:12Z'}",A handy tool quick definitely easy use An app like make life Much easier definite must,positive,0.0,0.0,1.0,"handy tool, app, life, definite"
10,2017-12-01 13:03:21,東大人,False,No link to velocity account,The only reason I use BP is the ability to collect velocity point so if the App don’t allow this then it’s pretty useless for me.,1,"{'id': 1951639, 'body': ""Hi , For launch, we're focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. \n\nClaiming points and rewards aren't yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for  2018. Watch this space!"", 'modified': '2017-12-07T06:18:54Z'}",The reason I use BP ability collect velocity point App dont allow pretty useless,negative,1.0,0.0,0.0,"velocity point, reason, BP, ability, App"
11,2017-12-02 07:30:17,nicknamesegat,False,No option to link Velocity,Not very clever,1,"{'id': 1951602, 'body': ""We're sorry to hear you feel this way. Claiming points and rewards aren't yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for  2018. Watch this space!"", 'modified': '2017-12-07T06:16:18Z'}",Not clever,negative,1.0,0.0,0.0,
12,2017-12-02 20:23:22,Aussiegirl345,False,Parents - you need this app!! Always running late? You want this app!,So easy to use.  You don't need to leave the car!! So fast & convenient.  Was in & out in less than 5 mins!  It was 37 degrees yesterday - perfect for when the little ones are with you!!,5,"{'id': 2242698, 'body': 'Hi Aussiegirl,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:27:37Z'}",So easy use You dont need leave car So fast convenient Was le min It degree yesterday perfect little one,mixed,0.15,0.1,0.75,"car, less, 5 mins, 37 degrees, little"
13,2017-12-03 08:37:42,Ben_c77,False,Velocity Points!,"Great idea, but will only start using when I can get my velocity points...",4,"{'id': 2242699, 'body': 'Hi Ben,\nWe thank you for your feedback and are pleased that you are happy with our offering. New features and functionality for BPme will be made available in the future.', 'modified': '2018-01-08T23:28:49Z'}",Great idea start using I get velocity point,positive,0.04,0.0,0.96,"Great idea, velocity points"
14,2017-12-03 22:06:05,MissyScot1,False,GOLD!! Time saving app,"So I'm one of those people who forgets to fill up then needs to when I'm in a hurry or late for something - I downloaded this app at home at the weekend and it literally took me 2 mins to arrive, fuel up and leave BP - gold!!! This is the best! More apps like this please :)",5,"{'id': 2242703, 'body': 'Hi MissyScot, We thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:31:33Z'}",So Im one people forgets fill need Im hurry late something I downloaded app home weekend literally took min arrive fuel leave BP gold This best More apps like please,positive,0.0,0.0,1.0,"people, hurry, something, app, home, weekend, 2 mins, BP"
15,2017-12-04 12:11:49,SPITS,False,No Velocity Points or Baseline Discount,If you buy fuel at BP to get Velocity points don’t bother with this app... it doesn’t have the facility to add your velocity card number so you miss out on points. If the use of this app gave a decent discount on fuel to compensate for no velocity points or in store purchase discounts I would rate it higher but as it is all it’s doing is increasing the margin for BP with no financial incentive for the consumer...,1,"{'id': 1951593, 'body': 'Hi , For launch, we\'re focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. \n\nClaiming points and rewards aren\'t yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for  2018. Watch this space!  ""', 'modified': '2017-12-07T06:14:57Z'}",If buy fuel BP get Velocity point dont bother app doesnt facility add velocity card number miss point If use app gave decent discount fuel compensate velocity point store purchase discount I would rate higher increasing margin BP financial incentive consumer,negative,0.82,0.02,0.16,"store purchase discounts, velocity card number, Velocity points, decent discount, financial incentive, fuel, BP, app, facility, use, increasing, margin, consumer"
16,2017-12-05 02:10:13,trysavemoney,False,Cannot login...,"Absolutely no idea. Register two account, neither can login on my iPhone, but both can login using pc.... WTH.....",1,"{'id': 1978410, 'body': ""Hi, this is definitely not supposed to happen and we'd love to work with you to get it figured out. Could please contact us at aucustcare@bp.com with the details of where it's getting stuck? Thanks"", 'modified': '2017-12-10T04:19:37Z'}",Absolutely idea Register two account neither login iPhone login using pc WTH,neutral,0.23,0.76,0.01,"two account, idea, iPhone, pc, WTH"
17,2017-12-05 05:42:29,aussman80,False,Junk,Slow buggy and Amex recognised payment as potential fraud! Then they charged me an extra $3 recovery fee,1,"{'id': 1978413, 'body': ""We appreciate your patience as we refine a couple of things. We hope you'll stay with us!\nPlease contact us at aucustcare@bp.com so we can make this right for you."", 'modified': '2017-12-10T04:23:26Z'}",Slow buggy Amex recognised payment potential fraud Then charged extra recovery fee,negative,0.99,0.01,0.0,"extra $3 recovery fee, Slow buggy, potential fraud, Amex, payment"
18,2017-12-05 06:17:45,Skeo,False,Failed at the first hurdle,"The registration process is slow, complicated and so very buggy. I’ve yet to be able to log in, so I have no idea if the app is useful or not, I can’t use it. Based on other reviews, no way to collect velocity points makes the app useless anyway.",1,"{'id': 1951575, 'body': 'Hi, We\'re sorry to hear you had this experience. Our app developers are constantly working behind the scenes to ensure our customers have the best user experience.\n \nClaiming points and rewards aren\'t yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for 2018. Watch this space!  ""', 'modified': '2017-12-07T06:13:04Z'}",The registration process slow complicated buggy Ive yet able log I idea app useful I cant use Based review way collect velocity point make app useless anyway,mixed,0.8,0.0,0.2,"registration process, other reviews, velocity points, idea, app, way"
19,2017-12-05 08:17:52,K.Chan0314,False,No velocity,"No option to add velocity card to collect points, but let down.",1,"{'id': 1951542, 'body': 'For launch, we\'re focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. \n\nClaiming points and rewards aren\'t yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for 2018. Watch this space!  ""', 'modified': '2017-12-07T06:10:24Z'}",No option add velocity card collect point let,neutral,0.42,0.57,0.01,"velocity card, option, points"
20,2017-12-05 10:06:28,What's for,False,Dump,"Dump app, registered both way with email and PayPal. Never able to login, brought me back to the log in page every time I hit LOG IN",1,"{'id': 1978408, 'body': ""Hi, this is definitely not supposed to happen and we'd love to work with you to get it figured out. Could you please let us know at aucustcare@bp.com with the details of where it's getting stuck?"", 'modified': '2017-12-10T04:18:01Z'}",Dump app registered way email PayPal Never able login brought back log page every time I hit LOG IN,negative,0.68,0.3,0.02,"Dump app, way, email, PayPal, log, page"
21,2017-12-05 12:52:47,Regular user 000,False,Why do you need mobile number verification on sign up?,Logging in with verified username and password but logs me out if I don’t use a phone number? Why is this a mandatory field? Where is your privacy policy?,1,"{'id': 1985329, 'body': 'Hi there,\nBP takes online privacy and security seriously which is why you were sent a one-off code by SMS to validate your mobile phone number when you first set up the BPme app.  We also obtain a phone number so we can contact a customer via SMS in the case of a transaction being declined.  Please see our privacy policy:  https://www.bp.com/en_au/australia/privacy.html', 'modified': '2017-12-11T05:45:32Z'}",Logging verified username password log I dont use phone number Why mandatory field Where privacy policy,neutral,0.04,0.94,0.02,"phone number, mandatory field, privacy policy, username, password"
