,date,userName,isEdited,title,review,rating,developerResponse,review_basic_clean,sentiment,negative confidence score,neutral confidence score,positive confidence score,Key Phrases
0,2018-01-16 12:57:37,Rm1295,False,The app is well made but,"The few issues I’ve found with the app is that not all stations have it, and, if you want to fill your tank completely it’s useless. However, it is nice as the pump will lock itself after however much you’ve put in. Also not having to queue in the store saves so much time.",4,,The issue Ive found app station want fill tank completely useless However nice pump lock however much youve put Also queue store save much time,mixed,0.34,0.0,0.66,"issues, app, stations, tank, pump, store, time"
1,2018-01-27 22:10:44,TheRiddler4u,False,No Amex!!!,"Can't add Amex as a payment method. Why release an app that does not accept all current methods of payment that can be accepted at the till? I work within technology and look after Business As Usual - BAU. I would not have accepted this app into BAU for the following reasons: 1) Scanning card function is slow and takes a few tries to work. 2) App does not accept all payment methods currently accepted at the till. 3) Very scary reviews about money being taken out of account in a different way than paying at the till. There should be no detriment to any customer for using this new app. Folks, it's not rocket science to get this right. You should not have rushed to market until you were ready. Learn to push back and say not yet until you are ready.",1,"{'id': 2532889, 'body': 'Hello TheRiddler4u, thanks for your review. By way of an update, we are pleased to be able to confirm that AMEX cards are now accepted within BPme. If you have any issues in adding or using your AMEX card then please get in touch via bpmeuk@bp.com. Thanks from the BPme team', 'modified': '2018-02-08T13:03:18Z'}",Cant add Amex payment method Why release app accept current method payment accepted till I work within technology look Business As Usual BAU I would accepted app BAU following reason Scanning card function slow take try work App accept payment method currently accepted till Very scary review money taken account different way paying till There detriment customer using new app Folks rocket science get right You rushed market ready Learn push back say yet ready,mixed,0.71,0.13,0.16,"Scanning card function, current methods, following reasons, scary reviews, different way, rocket science, payment method, new app, Amex, till, technology, Business, Usual, BAU, tries, money, account, detriment, customer, Folks, market"
2,2018-01-31 13:24:50,Luqa1960,False,Watch out for cops!,"Used this for the first time today and got apprehended by the boys in blue who saw me fill up me beemer then race off without paying!!. Had a right old time explaining to them 'I paid by App' 'yeah right - pull the other' he said and frog marched me to the til only for the nice lady to explain it to him!. Great App, works perfectly- just watch out for the cops!",5,"{'id': 2478407, 'body': 'Hi Luqa1960, thanks for the review. Glad to hear that the app worked perfectly for you. Sorry to hear however that you attracted some unwanted attention from the police! We are really happy to hear that the store staff were able to straighten everything out though. Thanks from the BPme team', 'modified': '2018-02-02T12:03:55Z'}",Used first time today got apprehended boy blue saw fill beemer race without paying Had right old time explaining I paid App yeah right pull said frog marched til nice lady explain Great App work perfectly watch cop,positive,0.06,0.05,0.89,"right old time, first time, nice lady, Great App, boys, blue, beemer, frog, til, cops"
3,2018-02-08 07:05:23,mominnz,False,Best app Better than Shell. Neat App,Being a tech savvy person I can guarantee that at the moment in the UK this is the best app and payment method with minimum complexity . I’ve got Shell app and it’s super complicated. Only thing I found was the price of fuel is slighter higher and also if I were to fill from Shell I normally fill at 40 where as BP was at 48 but that been said it’s not an accurate measure. Overall 5 star to BP. Good work. Near App,5,,Being tech savvy person I guarantee moment UK best app payment method minimum complexity Ive got Shell app super complicated Only thing I found price fuel slighter higher also I fill Shell I normally fill BP said accurate measure Overall star BP Good work Near App,mixed,0.39,0.02,0.59,"tech savvy person, payment method, minimum complexity, accurate measure, Good work, best app, Shell app, moment, UK, thing, price, fuel, BP, 5 star"
4,2018-02-19 12:55:09,Thompsp22,False,Good App - BP Plus Routex Card Required,"Good app, will be using regularly. The BP Plus Routex card type needs to be added as a payment option though - I’d have thought this would’ve been a day one option? Hopefully this’ll be added soon!. Good app otherwise!",5,"{'id': 2658928, 'body': 'Hi Thompsp22, thanks for your review. Glad to hear you like the app. The technical team are busy working on getting BP+ Routex cards added to the BPme app so keep an eye out for future app releases.', 'modified': '2018-02-23T08:52:17Z'}",Good app using regularly The BP Plus Routex card type need added payment option though Id thought wouldve day one option Hopefully thisll added soon Good app otherwise,positive,0.01,0.09,0.9,"The BP Plus Routex card type, day one option, payment option, Good app"
5,2018-02-25 09:59:27,zanzibari,False,Useless gimmick,"Absolutely hopeless. “Freezes” £100 from your bank account when you select “full tank” regardless of how much you spend. Select any other amount and the pump delivers 50p less!. I fill up my vehicle every night, and can’t afford to have £100 “frozen” from my bank account. In theory, after 1 week I could have £700 “pending transactions” in my bank account despite only spending £150-£200. Also, to print-off the receipt involves printing 2 A4 pages. Waste of paper & ink, so much for your care for the environment.",1,,Absolutely hopeless Freezes bank account select full tank regardless much spend Select amount pump delivers p le I fill vehicle every night cant afford frozen bank account In theory week I could pending transaction bank account despite spending Also printoff receipt involves printing A page Waste paper ink much care environment,negative,0.91,0.08,0.01,"bank account, full tank, other amount, pending transactions, 2 A4 pages, pump, vehicle, theory, 1 week, receipt, Waste, paper, ink, care, environment"
6,2018-02-28 20:02:56,Kiddan UK,False,"Good idea but doesn’t work, failed on first attempt.","Failed on my first attempt to use it. Got the app setup, went to the petrol station and picked pump and amounts and pressed the option to continue. The app got stuck on “unlocking pump”, waited for over a minute and nothing happened. I interrupted the process by closing the app. I filled up with Diesel and went in to pay as normal. I’m glad I mentioned to the staff about the failure to use the app as my card was charged with the amount and they did something to refund me. So no easy way to fill up using an app... not a good experience and have no confidence in this app/system. Bye bye “BP Me” short life.",1,,Failed first attempt use Got app setup went petrol station picked pump amount pressed option continue The app got stuck unlocking pump waited minute nothing happened I interrupted process closing app I filled Diesel went pay normal Im glad I mentioned staff failure use app card charged amount something refund So easy way fill using app good experience confidence appsystem Bye bye BP Me short life,negative,0.94,0.06,0.0,"first attempt, petrol station, easy way, good experience, short life, unlocking pump, app setup, amounts, option, minute, process, Diesel, staff, failure, card, something, confidence, app/system"
7,2018-03-05 14:19:39,Andrewjward,False,Charged for someone else’s fuel!,"Be very wary of this app. I was charged for someone else’s fuel as well as my own. Luckily I looked at her transactions before I left the station and queried this. Not sure what would have happened if I had not!. The support for this app were less than helpful, didn’t respond in the 5 days they said they would and had to chase only to be told they hadn’t looked at why it happened. Very poor! Be wary and if you do use make sure you check the transactions history.",1,"{'id': 2811841, 'body': 'Hello Andrewjward, thanks for your review. We are really sorry to hear about your recent BPme experience. If you can send a quick email to bpmeuk@bp.com with some more details our support team will be able to look into this in more detail. Thanks from the BPme team', 'modified': '2018-03-13T08:27:12Z'}",Be wary app I charged someone el fuel well Luckily I looked transaction I left station queried Not sure would happened I The support app le helpful didnt respond day said would chase told hadnt looked happened Very poor Be wary use make sure check transaction history,negative,0.92,0.03,0.05,"transactions history, app, someone, fuel, station, support, 5 days"
8,2018-03-08 10:03:43,Bowerchalke82,False,Why car you register your car?,"Surely you should be able to register your car, then the cameras can pick up the number plat at a pump. The phone would be there too, so the app should just pop up and say “do you want to use BP me at pump 3?”",5,"{'id': 2811791, 'body': 'Hi Bowerchalke82, thanks for your review. That is a great suggestion! We have passed this on to our innovation team who are constantly looking at ways to make your BPme experience even easier! Thanks from the BPme team', 'modified': '2018-03-13T08:19:27Z'}",Surely able register car camera pick number plat pump The phone would app pop say want use BP pump,neutral,0.01,0.99,0.0,"number plat, car, cameras, pump, phone, app, BP"
9,2018-03-09 13:49:53,adambsmith,False,£100 card authorisation each time,"As has been noted by previous reviews, each time I fill up a £100 pre-authorisation is taken from my card. My car takes 50-60 litres and the final cost is unlikely to be anywhere near £100. It’s even worse on my daughter’s car which takes 30 litres and which I fill up for her occasionally. Otherwise the app is great but tempted to bin it given the above.",2,"{'id': 2811854, 'body': 'Hi there adambsmith. Thanks for your review. BPme operates in a similar way to other pay@pump services by pre-authorising the payment prior to unlocking the pump. Any funds pre-authorised are released when the final payment is processed. If you need less than £100 why not use the handy ""Select your fuel amount"" feature in the app to select a more appropriate amount. Thanks from the BPme team', 'modified': '2018-03-13T08:28:01Z'}",As noted previous review time I fill preauthorisation taken card My car take litre final cost unlikely anywhere near Its even worse daughter car take litre I fill occasionally Otherwise app great tempted bin given,mixed,0.64,0.0,0.36,"previous reviews, final cost, 50-60 litres, 30 litres, £100 pre-authorisation, card, daughter, app"
