,date,userName,isEdited,title,review,rating,developerResponse,review_basic_clean,sentiment,negative confidence score,neutral confidence score,positive confidence score,Key Phrases
0,2018-11-09 05:33:33,The WB2,False,Great app to me!,"Not sure how it’s not working for other people. But, the app works just fine with me. Also, when you’re using the map to find a gas station to pay for gas through the app. You have to look for the gas station with a rectangle symbol sitting on the location and the words “BP Me” to actually use the app to pay for gas. App seems to work fine so if you follow those instructions while using the app. You will be ok. Everybody else is trying to give negative reviews and probably didn’t pay attention to detail.",5,"{'id': 5912906, 'body': 'Hi WB2,  Thanks for the review and thanks for sharing that helpful advice to find BPme enabled sites!  We continue to add more sites every day, so not seeing a site near you?...check back soon!  --Thanks', 'modified': '2018-11-12T20:01:16Z'}",Not sure working people But app work fine Also youre using map find gas station pay gas app You look gas station rectangle symbol sitting location word BP Me actually use app pay gas App seems work fine follow instruction using app You ok Everybody else trying give negative review probably didnt pay attention detail,mixed,0.48,0.02,0.5,"other people, rectangle symbol, negative reviews, gas station, app, map, location, words, instructions, Everybody, attention, detail"
1,2019-01-06 03:18:13,BoatYardDweller,False,Rather Worthless,This app made lots of promises in the introductory email however it’s failed to fulfill any of them. I was promised a $.25 bonus for trying the app but when I attempted to use it at the station in my neighborhood I learned that it did not work there. In fact the closest station was 35 miles away so I made the trek only to pay an additional $.30 per gallon above my local stations price. At least I was able to experience the potential convenience the app could offer. After my purchase I received an email congratulating me on using the app and earning the $.25 bonus. When I didn’t see the bonus reflected in my balance I contacted customer support. After 4 unanswered inquiries I was disappointed to learn that BP decided to cancel the bonus they congratulated me for earning because they deemed my purchase insufficient to remit the bonus. Sadly I will no longer purchase my fuel at BP after I use my rewards balance and instead of sharing the benefits of the app’s safety (the BP station I frequent at the entrance to my community was recently found to have card readers that steal your credit card info which made me eager to share the app as an option at my next community meeting) and convenience I’ll be sharing my dissatisfaction with my network. It’s unfortunate that the app wasn’t better planned prior to making it available to regular customers.,1,"{'id': 7050095, 'body': 'Hi, we’re sorry to hear of your experience and want to help make things right. For questions or issues related to rewards and/or promotions, please contact the customer support team at 1-877-852-3025 or at https://www.mybpstation.com/contact-us and reference this review - we are more than happy to investigate your case!', 'modified': '2019-01-28T17:48:01Z'}",This app made lot promise introductory email however failed fulfill I promised bonus trying app I attempted use station neighborhood I learned work In fact closest station mile away I made trek pay additional per gallon local station price At least I able experience potential convenience app could offer After purchase I received email congratulating using app earning bonus When I didnt see bonus reflected balance I contacted customer support After unanswered inquiry I disappointed learn BP decided cancel bonus congratulated earning deemed purchase insufficient remit bonus Sadly I longer purchase fuel BP I use reward balance instead sharing benefit apps safety BP station I frequent entrance community recently found card reader steal credit card info made eager share app option next community meeting convenience Ill sharing dissatisfaction network Its unfortunate app wasnt better planned prior making available regular customer,mixed,0.76,0.01,0.23,"local stations price, credit card info, next community meeting, card readers, customer support, 4 unanswered inquiries, regular customers, closest station, introductory email, potential convenience, rewards balance, BP station, app, lots, promises, 25 bonus, neighborhood, fact, trek, gallon, purchase, fuel, benefits, safety, frequent, entrance, option, network"
2,2019-03-04 17:35:39,Jay4money29,False,It’s okay but flawed,The ideal of the app is great! I can pull up to the pump and activate it with just my phone. However I’ve been experiencing trouble using it. The very first time worked fine.  Is when I open the app the debit card I registered is missing and I can no longer add debit or credit cards. You will also get charged the credit price which is really unfortunate steering you away from using the app. However since my debit card was linked to my rewards account. Every time I use this debit card the pump ask me do I want to apply my rewards and my rewards account is forever associated with my debit card so I still get my rewards and the debit price using my card. So great but fixed the app PLEASE!! I like BP so I want to use it. Also with the receipt it would be nice if you could print it or download them in pdf format.,3,"{'id': 7623994, 'body': 'Hmm yea, that doesn’t sound right. Thanks for letting us know, the team will have a look.  If you wish to speak with someone, give us a call 1-877-852-3025.  Any additional information we can get about the problem will be helpful!  Thanks, JS', 'modified': '2019-03-07T15:31:39Z'}",The ideal app great I pull pump activate phone However Ive experiencing trouble using The first time worked fine Is I open app debit card I registered missing I longer add debit credit card You also get charged credit price really unfortunate steering away using app However since debit card linked reward account Every time I use debit card pump ask I want apply reward reward account forever associated debit card I still get reward debit price using card So great fixed app PLEASE I like BP I want use Also receipt would nice could print download pdf format,mixed,0.28,0.07,0.65,"first time, credit cards, credit price, pdf format, debit price, debit card, rewards account, ideal, app, pump, phone, trouble, PLEASE, BP, receipt"
3,2019-04-14 16:07:21,ssnipes,False,At least some of you can actually use the app!,"I have been trying for over an hour to log in with my credentials from my years old BP rewards account and I keep getting a “sorry your session has timed out” message after I want to say the full 7 seconds it takes to sign in. 🤷🏽‍♀️. I wouldn’t have an issue with the credit price thing people keep complaining about- that’s not new, the station doesn’t know/care you are using your debit as a credit card. They have to pay the transaction fee nonetheless. You can choose a station that is “cash/credit same price”. Hopefully the developer team will fix the bugs so that more people will use what seems to be a great idea.",5,,I trying hour log credential year old BP reward account I keep getting sorry session timed message I want say full second take sign I wouldnt issue credit price thing people keep complaining thats new station doesnt knowcare using debit credit card They pay transaction fee nonetheless You choose station cashcredit price Hopefully developer team fix bug people use seems great idea,mixed,0.75,0.0,0.25,"old BP rewards account, credit price thing, credit card, same price, full 7 seconds, transaction fee, developer team, great idea, hour, credentials, years, sorry, session, message, issue, people, station, debit, cash, bugs"
4,2019-05-30 22:20:26,ticotas,False,Love the savings,"Love the app!!! It is about time that an app is created this quick an efficiently however, only thing I would love see change or added is that when pumping gas it doesn’t allow you to select the amount of money you would like to pay if you do not want to fill up and if the employee or yourself isn’t paying attention it will end up filling it up when maybe you meant to fill up $20 or so. Besides this I enjoy it very much and hope this gets added soon.",5,,Love app It time app created quick efficiently however thing I would love see change added pumping gas doesnt allow select amount money would like pay want fill employee isnt paying attention end filling maybe meant fill Besides I enjoy much hope get added soon,positive,0.0,0.0,1.0,"app, time, thing, change, gas, amount, money, employee, attention"
5,2019-05-31 00:22:54,Puggerton,False,"Great concept and rewards, but some minor flaws","I love the concept of being able to locate the nearest BP station and select/pay for a pump with my smart phone. Being able to apply rewards with app is quite easy as well! However, sometimes the app can be a little wonky when loading, and on a few rare occasions was not able to be used with compatible stations. I also have had fraud alerts block the use of the linked credit card on multiple occasions, but am not sure of that is more on the end of the fraud alert or the way the payment is secured by the app. Overall, the app is convenient and an easy way to apply rewards, but could use some fine tuning to make the experience completely seamless.",5,,I love concept able locate nearest BP station selectpay pump smart phone Being able apply reward app quite easy well However sometimes app little wonky loading rare occasion able used compatible station I also fraud alert block use linked credit card multiple occasion sure end fraud alert way payment secured app Overall app convenient easy way apply reward could use fine tuning make experience completely seamless,mixed,0.4,0.0,0.6,"nearest BP station, smart phone, rare occasions, compatible stations, fraud alerts, credit card, multiple occasions, fine tuning, easy way, concept, pump, rewards, app, use, end, payment, experience"
6,2019-06-04 19:54:12,NotA1965,False,Love this app,"I’ve been using the BP app for several months and love it. Why?  Three reasons. 1) Security. I’ve had my credit card skimmed more time than I can count and with this app NEVER have to even take my card out of my wallet. 2) convenience in managing my credit card receipts. I don’t have to worry about paper copies when I enter my charges in my accounting software...it’s all right there in the app. 3) Ease...I can find a BP near me, select and activate a pump without ever getting out of my car. Great when it’s cold outside or late at night when I don’t feel comfortable being exposed for longer than necessary to pump my gas. Great app!",5,"{'id': 9095591, 'body': 'Tell your friends!  We think it’s pretty awesome too.', 'modified': '2019-06-10T14:46:36Z'}",Ive using BP app several month love Why Three reason Security Ive credit card skimmed time I count app NEVER even take card wallet convenience managing credit card receipt I dont worry paper copy I enter charge accounting softwareits right app EaseI find BP near select activate pump without ever getting car Great cold outside late night I dont feel comfortable exposed longer necessary pump gas Great app,mixed,0.12,0.07,0.81,"credit card receipts, several months, Three reasons, paper copies, accounting software, Great app, BP app, Security, wallet, convenience, charges, Ease, pump, night, gas"
7,2019-06-04 20:06:46,CRF_86,False,Good when it works,"App was updated 4 months ago! I agree with the review from March 4 about the app working for awhile. Then, all of a sudden it stops using your linked payment information!. The app still shows closest BP stations and your total rewards. It even adds rewards when you use your linked credit card at the pump or login at the pump using your phone number or other rewards information! But the app stopped working with ANY of my payment cards! I have entered the information manually several times now but I get the same error message that the app cannot add that card please try another one. The website works just fine, so far! Please fix the app so it will accept and keep payment information!",2,"{'id': 9092934, 'body': 'Hi CRF_86, we are sorry you are having an issue with your card.  If you wish to speak to someone, please get in touch at https://www.mybpstation.com/contact-us or call 1-877-852-3025.  Let’s see if we can get this resolved and get you back to fueling with BPme.  Thanks, The BPme Team', 'modified': '2019-06-10T12:39:42Z'}",App updated month ago I agree review March app working awhile Then sudden stop using linked payment information The app still show closest BP station total reward It even add reward use linked credit card pump login pump using phone number reward information But app stopped working ANY payment card I entered information manually several time I get error message app cannot add card please try another one The website work fine far Please fix app accept keep payment information,mixed,0.57,0.09,0.34,"closest BP stations, same error message, linked payment information, other rewards information, payment cards, total rewards, phone number, credit card, App, review, March, awhile, adds, pump, login, website"
8,2019-06-04 20:27:07,Loco_Ese,False,Great overall,The app is intuitive enough to use once its setup.  The only reason I didn’t give it 5 stars is because the start up of the app (once I’m at the BP station of my choice) takes noticeably longer to load than any of the other gas apps I use.  Maybe look at using async methods within the webservice application and have certain aspects of the app to load one at a time while the rest of the information (the cents off) loads.  When I first started using the app I thought it froze up since the UX just shows a gas station image for approx 15-20 seconds with no perceived activity by the app; maybe have a BP waiting/loading indicator.  Other than that I love the convenience of not having to use my BP rewards card and then use my credit card for a gas transaction.  Keep up the great work on the app; it’ll only get better!,5,"{'id': 9095003, 'body': 'Thank you for taking time to leave feedback.  We are continually reviewing user suggestions and will evaluate them for future app releases.', 'modified': '2019-06-10T14:19:45Z'}",The app intuitive enough use setup The reason I didnt give star start app Im BP station choice take noticeably longer load gas apps I use Maybe look using async method within webservice application certain aspect app load one time rest information cent load When I first started using app I thought froze since UX show gas station image approx second perceived activity app maybe BP waitingloading indicator Other I love convenience use BP reward card use credit card gas transaction Keep great work app itll get better,mixed,0.32,0.01,0.67,"other gas apps, BP waiting/loading indicator, gas station image, BP rewards card, BP station, gas transaction, credit card, async methods, webservice application, 15-20 seconds, perceived activity, great work, setup, reason, 5 stars, start, choice, aspects, time, rest, information, UX, approx, convenience"
9,2019-06-04 20:27:39,Shawn Bx,False,Future Technology At The Pump!!!,"So, I too, had experienced a few glitches with the app when I first started using it. But since then, it’s worked pretty flawlessly. I can see my rewards balance right away, and be able to let them know whether or not to use it, or let it ride. Also it helps to tell you where the nearest BP pump is, especially when you’re somewhere you’re not familiar with. And lastly, it’s great not having to pull out my wallet! I gas up a lot in New Jersey, where you can’t pump your own gas. So I pull up to the pump, enter the info into the app. Tell the attendant how much, which grade, and whether to use the reward or not, and then tip and go! I also appreciate the extra rewards BP sends as well, keep up the good work BP!",5,,So I experienced glitch app I first started using But since worked pretty flawlessly I see reward balance right away able let know whether use let ride Also help tell nearest BP pump especially youre somewhere youre familiar And lastly great pull wallet I gas lot New Jersey cant pump gas So I pull pump enter info app Tell attendant much grade whether use reward tip go I also appreciate extra reward BP sends well keep good work BP,mixed,0.17,0.05,0.78,"nearest BP pump, rewards balance, New Jersey, extra rewards, good work, glitches, app, wallet, gas, info, attendant"
