,date,reviewId,userName,reviewCreatedVersion,content,thumbsUpCount,score,repliedAt,developerResponse,content_basic_clean,sentiment,negative confidence score,neutral confidence score,positive confidence score,Key Phrases
0,2017-11-29 10:37:17,gp:AOqpTOHUM9eQzD-4yvEQJP31-UTleng5LzptwZIkYx9jYeITmgz6sxrlVmG2HBa2hbC_-fgvNq3ofjzGAAM_j5U,A Google user,1.13.6,I've been waiting for this!!!,2,5,2018-01-09 06:56:06,"Hi there,
We thank you for your feedback and are pleased that you are happy with our offering.",Ive waiting,neutral,0.04,0.8,0.16,
1,2017-11-29 13:17:44,gp:AOqpTOEvDH_uAIZsqEXgpg4rMlisq8zwVrhRO70Bw03QUj0DIW9lufqu8cRNk_o6AEEFOsWu1a46HfC0ILg1O5w,Madison Whitmond,1.13.6,Easy to use and convenient,2,5,2018-01-09 06:56:01,"Hi Matthew,
We thank you for your feedback and are pleased that you are happy with our offering.",Easy use convenient,positive,0.0,0.0,1.0,
2,2017-11-29 16:09:29,gp:AOqpTOGFrB-OBUFVGv4lIcEeR_Uu_V1-lOQTusMSG0LyKVNffQOb0DMBUw25XM4WvK67cbA9icjwAZhhR0LNmnU,Rebecca Fyson,1.13.6,Fantastic gives back time to a busy mum! Love BPme.,2,5,2018-01-09 06:55:44,"Hi Rebecca,
We thank you for your feedback and are pleased that you are happy with our offering.",Fantastic give back time busy mum Love BPme,positive,0.0,0.0,1.0,"busy mum, Love BPme, Fantastic, time"
3,2017-11-29 16:34:41,gp:AOqpTOF-Iot363tcEuubbG8g3or_fh10NDCTemtKfHVudQFB0x-D9abXNRxOCZq_Hbgc6b07Ux79Z96pgm658Ak,Ryan Schilt,1.13.6,"Too easy! Such a great, easy to use app. About time someone though of this",4,5,2018-01-09 06:55:10,"Hi Ryan,
We thank you for your feedback and are pleased that you are happy with our offering.",Too easy Such great easy use app About time someone though,positive,0.22,0.02,0.76,"time someone, app"
4,2017-11-29 20:27:35,gp:AOqpTOFto1CwmXB8E1C3QP1L4AhwzrWuLkQLvf4-5qIkmP2fAqfGP7QDtQ8Bx79ruU4ziRPoYnI9hhIy-_0bNLA,A Google user,1.13.6,Fantastic app! Love it!,3,5,2018-01-09 06:54:50,"Hi there,
We thank you for your feedback and are pleased that you are happy with our offering.",Fantastic app Love,positive,0.0,0.0,1.0,Fantastic app
5,2017-11-30 05:00:23,gp:AOqpTOHyGojL4l-N8BoT-h58KiUo_V6oRQjnKoX5Zu7KUn4jjQxnq_NffsUv85qT_M1c5HcwkW4lT-UiI6858pg,Paul Coupe,1.13.6,It just works,2,5,2018-01-09 06:54:44,"Hi Paul,
We thank you for your feedback and are pleased that you are happy with our offering.",It work,positive,0.02,0.4,0.58,
6,2017-11-30 13:03:21,gp:AOqpTOHUfXVspX_b4IGjee2VIoYQmo5JKrk5Hke847F44NSgeyEEGKBt74-rX-uLHZ7R5CHjIv0sdEL-nfsIqNQ,A Google user,1.13.6,I can now wear my PJs when I refuel!,2,5,2018-01-09 06:54:21,"Hi there,
We thank you for your feedback and are pleased that you are happy with our offering.",I wear PJs I refuel,neutral,0.02,0.54,0.44,PJs
7,2017-12-01 06:25:58,gp:AOqpTOFTYZK2RrUvYq1j-CXaVtxBNju95BMn2oAL73mDnzEtVoNQq_JTypz7xZSwRo_QqNXLdvONVCh2ekfldRk,Sharat Thakur,1.13.6,"A game changer app, will change the way people buy fuel. Loving it....",2,5,2018-01-09 06:51:00,"Hi Sharat,
We thank you for your feedback and are pleased that you are happy with our offering.",A game changer app change way people buy fuel Loving,positive,0.0,0.0,1.0,"game changer app, way, people, fuel"
8,2017-12-01 07:22:33,gp:AOqpTOED-Sce3FSYWg9GaNGcwT_OGYOqthZPArhn0MB2ul65ILT4xC35GpCCku4lErcw-GVvp35whIrrWj1DNwI,A Google user,1.13.6,Very innovative,1,5,2018-01-09 06:50:41,"Hi Chris,
We thank you for your feedback and are pleased that you are happy with our offering.",Very innovative,positive,0.0,0.01,0.99,
9,2017-12-01 07:23:09,gp:AOqpTOH3E-s6KkRm7kwJkSyY7XVEiwB6ljBIggE9VvrbxXw3ZvKwe6qBcAyZkBa-CAQ25Wi6cp6k350ZTTA7c1I,TraceyE B,1.13.6,Great innovation !!,1,5,2018-01-09 06:50:21,"Hi Tracy,
We thank you for your feedback and are pleased that you are happy with our offering.",Great innovation,positive,0.0,0.0,1.0,Great innovation
10,2017-12-01 07:32:19,gp:AOqpTOFEJaTeU5KSNacaT4H0vEkHNLIZx-KgcnrufbxV1hZFZmYdN0Hz0HQ8Oqt5mxQzHaGaMAUalOTrc2VINC8,Chris Harper,1.13.6,Works well.Can i get my velocity card set up on the app.,5,5,2018-01-09 06:50:00,"Hi Chris,
We thank you for your feedback and are pleased that you are happy with our offering. New features and functionality for BPme will be made available in the future.
Cheers",Works wellCan get velocity card set app,positive,0.0,0.0,1.0,"velocity card, app"
11,2017-12-01 08:33:03,gp:AOqpTOGNsYPRFvdM6b5fUaBMTX0bRx130ARKzuFJT-xiaCwu8qp6Md78r4zU3rNUIP_p1YHgsl99G5GCdRWzl34,Sofia Dimovski,1.13.6,Great app!,1,5,2018-01-09 06:49:30,"Hi Sofia,
We thank you for your feedback and are pleased that you are happy with our offering.",Great app,positive,0.0,0.0,1.0,Great app
12,2017-12-01 18:12:36,gp:AOqpTOFQH3WNiKOyNpLIczdGJCGUUi15TPcspcf6vbKOt4Brv20KL7JxvePN1mA1CUcgt2DaPlL_YWvAEDk3S-w,Miles Burden,1.13.6,So happy this is now available for everybody to enjoy instead of just business customers only. Now I have the luxury of filling my car without having to lock the kids in the car to pay for the fuel,3,5,2018-01-09 06:42:20,"Hi Miles,
We thank you for your feedback and are pleased that you are happy with our offering.",So happy available everybody enjoy instead business customer Now I luxury filling car without lock kid car pay fuel,positive,0.0,0.0,1.0,"business customers, everybody, luxury, car, kids, fuel"
13,2017-12-02 05:15:15,gp:AOqpTOEvooPpY6PrSq0d1OUM3k3q3d9MS7xfdvIc19RDdlGrt3npC-sB_usUGUr8UZMf4HUDo-N4MIv44yYrsG0,Jamie de Vries,1.13.6,Top Notch !,1,5,2018-01-09 06:41:59,"Hi Jamie,
We thank you for your feedback and are pleased that you are happy with our offering.",Top Notch,positive,0.01,0.1,0.89,Top Notch
14,2017-12-02 08:35:20,gp:AOqpTOFM2klRGj7Bcasfi1CvdsS1IabXdHV5zkN20msEkNvOjbEl7xsh8i2X9UB7SFPtN95sFg1DRvWT7LIBSMs,David Tana,1.13.6,"Tried this today. Fast to setup 2mins, app runs smoothly, as a servo worker im amazed at how fast and well this works, paypal or card payment, im sure velocity will come in time its only been operational for a day",3,5,2018-01-09 06:41:17,"Hi David,
We thank you for your feedback and are pleased that you are happy with our offering. New features and functionality for BPme will be made available in the future.
Cheers",Tried today Fast setup min app run smoothly servo worker im amazed fast well work paypal card payment im sure velocity come time operational day,positive,0.0,0.08,0.92,"servo worker, sure velocity, 2mins, app, paypal, card, payment, im, day"
15,2017-12-02 17:22:16,gp:AOqpTOFDWkYy9zkWhiaXNyuW8b4UHdlaMHBcJ2rdKQa0fxMbqSMXHVP1RCebqHmv0yXTQ0Dr7do-mcAdnax2JqY,Baltetsch Purchases,1.13.6,How do I add my Velocity membership details so that I can earn points for fuel paid for via the app?,3,3,2017-12-07 14:01:52,"For launch, we're focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. 

Claiming points and rewards aren't yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for 2018. Watch this space!",How I add Velocity membership detail I earn point fuel paid via app,neutral,0.02,0.97,0.01,"Velocity membership details, points, fuel, app"
16,2017-12-02 19:09:16,gp:AOqpTOG9NeSkaod7FDNA0PwD99GKHFpd75kgeSgZwwKh2oK54c6tQZw4DmgGTWzZ5XrdDG5hW4n8n1SOy-KSTkQ,Ohitsmryang,1.13.6,BPme delivers. Thats all I can say.,1,5,2018-01-09 06:40:29,"Hi Vichit,
We thank you for your feedback and are pleased that you are happy with our offering.",BPme delivers Thats I say,neutral,0.02,0.73,0.25,BPme
17,2017-12-03 05:11:38,gp:AOqpTOELqlO9SywQqyZOwBqiAecBS4koDvBCXBbA_GhVXHInr_lOz5nGjvd3CoRM7onBiXvAk8EFEUA7fLOX_B0,Ben,1.13.6,The app won't even load...  It opens and the gets out of it straight away!,1,1,2017-12-07 14:00:50,We're sorry to hear you had this experience and thank you for letting us know. Our app developers are constantly working behind the scenes to ensure our customers have the best user experience and we will pass this on to the developers.,The app wont even load It open get straight away,negative,0.98,0.02,0.0,app
