,date,reviewId,userName,reviewCreatedVersion,content,thumbsUpCount,score,repliedAt,developerResponse,content_basic_clean,sentiment,negative confidence score,neutral confidence score,positive confidence score,Key Phrases
0,2017-12-04 22:08:26,gp:AOqpTOHOsehQF9F4NmfEEFGWvoOTNhI6a_vA4FINWbHbdF40TPAFdrHfDFr3sWHtLFE61vV3r5u3Pt-30UdP,A Google user,1.13.5,This is brilliant!!!!!!!!,0,5,,,This brilliant,positive,0.0,0.0,1.0,
1,2017-12-05 01:18:59,gp:AOqpTOFPDQzxj8rbmjqeWtyZ2lGWRIUITxRb0hqLIjJ9y44t0wECPY8ohocGdw5f7sADUuMTKSKj0oItiuy6,Dan Muir,1.13.5,"Flawless 👍 no issues from setting up to using the app for fuel purchase. App is very clean and tidy (apart from the initial load screen, could of used a higher resolution picture). I'm very impressed and looking forward to future updates",2,5,,,Flawless issue setting using app fuel purchase App clean tidy apart initial load screen could used higher resolution picture Im impressed looking forward future update,positive,0.0,0.0,1.0,"initial load screen, higher resolution picture, fuel purchase, future updates, Flawless, issues, app"
2,2017-12-06 23:55:06,gp:AOqpTOEmQnlXvTHisXOK43wmzqXrOYE_aC9t_YTE8Rq2m6gUdyvRbgld9r0t67n36RLZzLM2Mr_tZMj7lvMS,martin Atkins,1.13.5,Amazing app worked perfectly simple as pick the pump your at choose how much fuel you need and away you go and you don't go over the amount you requested absolutely brilliant technology,0,5,,,Amazing app worked perfectly simple pick pump choose much fuel need away go dont go amount requested absolutely brilliant technology,positive,0.0,0.0,1.0,"Amazing app, brilliant technology, pump, fuel, amount"
3,2017-12-07 22:40:46,gp:AOqpTOFmFU6S2lE9KAHPHIWyTYlkMuFscWe5ajHCf3V75jQhK127v2J1zeWd1A-PNZ5wL8LWaYYhdEheO9Hw,Natasha Pereira,1.13.5,Great app. But it does not allow me to load the BP fuel card on the app. When will I be able to buy fuel on the fuel card with this app..,0,5,,,Great app But allow load BP fuel card app When I able buy fuel fuel card app,positive,0.0,0.0,1.0,"BP fuel card, Great app"
4,2017-12-08 07:24:39,gp:AOqpTOH88rQwjWBQpgv4OUkfx_TWHOXtp_BOXVDrfNbHMxiFLhQr_8IH4nXLHZ3NoOYqCUXkj_WhUxmLz264,A Google user,1.13.5,I downloaded the app set up an account and it won't let me get past selecting my question I don't understand why it just won't let me choose one,0,1,2017-12-08 15:57:55,"Hi there, we are really sorry you have been experiencing issues. We have identified a very small number of accounts that had an issue during set-up. Our tech support team have reset all of these accounts so you should be good to get in now. If you are still having problems then please get in touch at bpmeUK@bp.com. Thanks from the BPme team",I downloaded app set account wont let get past selecting question I dont understand wont let choose one,negative,0.72,0.27,0.01,"app, account, question, one"
5,2017-12-13 05:31:01,gp:AOqpTOF1SVr1cR_fupzj1jZNPww0Qlsgl6xLJg8mbsXpeqHWdTrYq6gHseXGduVl1H6VAX1zuZUO7qiPUOQV,dimitra lekati,1.13.5,"Absolutely flawless! Very easy set up, user friendly and fast!",0,5,,,Absolutely flawless Very easy set user friendly fast,positive,0.0,0.0,1.0,
6,2017-12-14 06:58:26,gp:AOqpTOFxQSvfZs5e7_ogTaDhW0Yk3laRmZcu3yqtm6taVQ2BOCci-Ckgjt7kTHPKKMCJ-JAokL1CkqIai8VL,Edoardo Boccini,1.13.5,"App works good, just sometimes can't fill up to the selected amount",1,4,2017-12-05 00:15:39,"Hi there Edoardo, we are really sorry you have had trouble adding a card. Just to let you know our tech team have looked in to this and have fixed the issue. If you wouldn't mind having another go then we are confident this should now be working. Many thanks. The BPme team",App work good sometimes cant fill selected amount,positive,0.01,0.01,0.98,"App, amount"
7,2017-12-16 17:36:26,gp:AOqpTOGghOpXxphyxZ-Z9NsBx0ssc3cfOTjnJWleefTaXJUj_MK38lBaeDO8WlH_H1_yILy1AVcrwlYkisU0,April Simon,1.14.0,Do not get this app I repeat do not install as they double charge you,3,1,2017-12-20 17:47:53,"Hello April, thanks for taking the time to review BPme. We are sorry that you are experiencing some issues with our app. Please rest assured BPme does not double charge for any fuel purchased. If you are able to drop an email to bpmeuk@bp.com with some more details we will investigate this further for you. Many thanks from the BPme team",Do get app I repeat install double charge,negative,0.99,0.01,0.0,app
8,2017-12-20 05:00:08,gp:AOqpTOGSiR6xZ4COfNkUsOQEGewCEjqaBH75hxOrC_fB7GbzASvyJ0irWwbUmN6Ow19xeFzfLHaVCXvWW274,Robin Yellow,1.14.0,"Well it worked. The sign up process was a little tedious. I tried it in my local bp station and the payment worked first time. You just need to enter the pump number which is helpfully displayed on a board at eye level, so you don't need to get out of the car.    I encountered two problems. 1. The fingerprint authentication didn't work, it just sits there spinning a plate. 2. I couldn't register my nectar card. I couldn't remember the password I created when I set it up. Oh well.",4,4,,,Well worked The sign process little tedious I tried local bp station payment worked first time You need enter pump number helpfully displayed board eye level dont need get car I encountered two problem The fingerprint authentication didnt work sits spinning plate I couldnt register nectar card I couldnt remember password I created I set Oh well,mixed,0.71,0.11,0.18,"local bp station, pump number, eye level, two problems, fingerprint authentication, nectar card, sign, process, payment, board, plate, password"
9,2017-12-29 07:10:10,gp:AOqpTOERVzTHyYtkci745c3MvuF0HHVZm-p6wa3eYcmU0JyDkFjlXgCZQapLkVgALiCZ9n9GE6RrpmLykCIP,Terence Kirwan,1.14.0,Do not receive confirmation emails when registering. should be tested on all platforms before released,0,1,2018-01-10 18:35:04,Hello Mr Kirwan. Thanks for your review and sorry you are having trouble accessing BPme. If you are able to contact us at bpmeuk@bp.com we can look at re-setting your account which should resolve this log-in issue. Thanks from the BPme team,Do receive confirmation email registering tested platform released,negative,0.91,0.09,0.0,"confirmation emails, platforms"
