,date,reviewId,userName,reviewCreatedVersion,content,thumbsUpCount,score,repliedAt,developerResponse,content_basic_clean,sentiment,negative confidence score,neutral confidence score,positive confidence score,Key Phrases
0,2018-02-20 21:31:10,gp:AOqpTOHH3MJD6sMxJCegPFoTJ7YVqdSEpbF-1-FtY0qAnpoXYa9YqmnlQsQSSVXtSIAuKAudSIidQJkxu0l0Ng,Brenda Alark,,The best ever bp app ♡,1,5,,,The best ever bp app,positive,0.0,0.0,1.0,"bp app, best"
1,2018-02-22 12:29:46,gp:AOqpTOFB5dSDFGbblVAudSlW_zYINeSNHRSbYn1-2DXZvclyFs7fmrVq8IF0OAyBia-kq6CmpH1fRteTFzJrqQ,Wilfredo Ruiz,3.4.0,Cannot link my debit card,7,1,2019-10-26 00:19:01,"Hi Wilfredo -  BPme currently does NOT accept PIN only debit and pre-paid debit cards. If your card is not a PIN only or pre-paid and you've confirmed all the information is correct, you may want to call your card issuer to ensure there is not an issue with your account. Typically, the customer care phone number is on the back of the credit card.",Cannot link debit card,negative,0.77,0.21,0.02,debit card
2,2018-03-01 07:09:20,gp:AOqpTOHuAEp218qc7-kBU3e5PqkzOQg_NLIDQMyrmHULtC8c1VIywN6clT6Pv4ryJBePqgxSHfW7b8phNtCbSw,Richard Croad,3.4.0,What a piece of garbage... can't accept postcode so won't accept credit card.. not assorted for NZ at all.  Sort it out this is pathetic.,9,1,2019-10-26 00:24:37,"Hi Richard - We're sorry for your experience. Recently, we updated our rewards program and app. To participate, download the BPme app and create an account. If you'd like to receive fuel discounts without joining the rewards program, you can join our SMS offerings. To join, text REWARDS to 38831, and reply Y to be signed up for offers.",What piece garbage cant accept postcode wont accept credit card assorted NZ Sort pathetic,negative,1.0,0.0,0.0,"credit card, piece, garbage, postcode, NZ"
3,2018-03-17 01:11:35,gp:AOqpTOF8Eo0naXm8Bx1eXYSRjsK4amPfGeh1yyHbR3RcWN-shqiUgS5fhh8JfyiEUeQ8KbKp5tKMwRfuZVYCNg,Justin R. Popp,3.4.0,The app looks like it would be functional if ANY of the stations in my city had the pay in app function available. I live in a larger city too...so right now the only use it has is to tell me the closest station.,20,3,,,The app look like would functional ANY station city pay app function available I live larger city tooso right use tell closest station,neutral,0.01,0.93,0.06,"closest station, app function, larger city, stations, pay, use"
4,2018-03-20 04:28:36,gp:AOqpTOEXi8npLmXhCWPnj59JF3gMxhjYX-y3Qx9IBGorcoMc_0qeeMuK_rLKbzPluD0Br5eGLzQ7oQCoXdifmQ,Gabriel Carrillo,,I've been waiting for this app to just start downloading for the past hour totally not wort,1,1,2019-10-26 00:27:28,"Hi Gabriel - We're sorry for your experience. Recently, we updated our rewards program and app. To participate, download the BPme app and create an account. If you'd like to receive fuel discounts without joining the rewards program, you can join our SMS offerings. To join, text REWARDS to 38831, and reply Y to be signed up for offers.",Ive waiting app start downloading past hour totally wort,negative,0.91,0.07,0.02,"past hour, app"
5,2018-03-24 01:46:52,gp:AOqpTOGJk2KVjqv3HotQg2QQZFI8qsoBDV28Eb4R062xKO2mIstbAyp1qHPHBom3fd1GaGBO_zl_k4z1bAzTmQ,Ernst Gottschalk,3.4.0,App pay doesn't work at really any stations,3,2,2019-10-30 01:21:32,"Hi Ernst - We are sorry to hear about your experience. We would love to look into this for you. You can contact our support team at 1-800-333-3991 and they will do their best to assist you further. Thank you, BPme Team",App pay doesnt work really station,negative,0.94,0.06,0.0,"App, stations"
6,2018-03-29 03:16:54,gp:AOqpTOHmDaS2KHLIt9bJYKdSV4OX9b7d6lSBAZ8L45k69R__mth5xjeSLzqnae5gyHTVlD2n9M1agTrNBGnuQQ,Dkce,,I would use it but it does not support Samsung pay.,1,2,2019-10-30 01:22:35,"Hi Dkce - We are sorry to hear about your experience. BP continues to review support for additional payment options and will continue to work towards expanding payment options through BPme. Thank you, BPme Team",I would use support Samsung pay,negative,1.0,0.0,0.0,Samsung pay
7,2018-04-04 07:21:34,gp:AOqpTOFVGH8sFyfiXIDVDWbeonjLRl81hV9X5A4RvuD4RVRP0vnYJRrexdt-S9r83AvixSO7I71Ejwop9lYpnA,Chris Todt,3.4.0,This app is a P.O.S.,0,1,2019-10-26 00:29:34,"Hi Chris - We're eager to continue to evolve our BPme Rewards program to help meet the demands of important consumers like you. We’re sorry we didn’t meet the mark thus far and we hope that we can continue to earn your business. If you are looking for another way to save money on fuel, text REWARDS to 38831, and reply Y to be signed up for offers.",This app POS,neutral,0.22,0.76,0.02,"P.O.S, app"
8,2018-04-22 07:01:39,gp:AOqpTOEtYVH2P9VGrBmLGzpuoj0IZCJwRPQZBEWZaWA42IymB1rMOmMf7uTP49sEcv5X6oUcnM2U9jgeLuA0zA,A Google user,3.4.0,This app gets a 1 star due to terms & conditions part 14 at the end.,3,1,2019-10-26 00:35:41,"Hi - We're eager to continue to evolve our BPme Rewards program to help meet the demands of important consumers like you. We’re sorry we didn’t meet the mark thus far and we hope that we can continue to earn your business. If you are looking for another way to save money on fuel, text REWARDS to 38831, and reply Y to be signed up for offers.",This app get star due term condition part end,negative,1.0,0.0,0.0,"app, 1 star, terms, conditions, part, end"
9,2018-04-27 07:00:17,gp:AOqpTOHbaT_VufTZC3UK1xyHTLv1fbTvYt5enuC17JMfj9TQWTCyFtHpTRsl9poUwraXLMJ2DfkU0dJNSIPJ9w,Alejandro Perales,,"I am going until the 4th next month if you don't contact if here by the. First I by phone, I am not going wait for you until the 4th hmm",0,4,,,I going th next month dont contact First I phone I going wait th hmm,neutral,0.04,0.93,0.03,"4th hmm, phone"
