,isEdited,userName,review,developerResponse,title,rating,date
0,False,Stevojjjjjjj,Easy to set up and fast to pay for fuel,"{'id': 2242676, 'body': 'Hi Stevo,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:25:06Z'}",Perfect,5,2017-11-30 07:08:50
1,False,Marfs89,Great payment option when filling up. Very slick app and easy to use,"{'id': 2242679, 'body': 'Hi Marfs,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:25:21Z'}",Convenient and easy to use,5,2017-11-30 11:57:13
2,False,scriei,Makes paying for fuel so much easier! Thanks BP!,"{'id': 2242684, 'body': 'Hi Scriei,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:25:41Z'}",Easy paying!,5,2017-11-30 22:56:23
3,False,Jojoplustwo,What an awesome app! Super easy to use and solves the age old issue for parents of how to refuel with kids in the car!,"{'id': 2242687, 'body': 'Hi Jojo,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:25:59Z'}",Awesome App! Must have for parents!,5,2017-11-30 23:05:38
4,False,Biter73,Quick and Easy to use after initial set up,"{'id': 2242690, 'body': 'Hi there,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:26:14Z'}",Awesome,5,2017-11-30 23:43:28
5,False,Ellejaay,Great that it shows you where service stations are and provides directions in a simple click.,"{'id': 2242692, 'body': 'Hi Elle,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:26:32Z'}",Awesome! So convenient and easy to use. Love it!,5,2017-11-30 23:59:39
6,False,Da Man 56,"Although I haven’t used it as yet, I don’t think it allows you to collect Velocity points like I can when I’m paying for fuel in store.

So, unless I want to give up on collecting my Velocity points, this app is more or less useless to me 🙄","{'id': 1951629, 'body': ""Hi, For launch, we're focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. \n\nClaiming points and rewards aren't yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for  2018. Watch this space!"", 'modified': '2017-12-07T06:18:22Z'}",Doesn’t register Velocity Points,1,2017-12-01 00:53:31
7,False,Cazb70,3 kids and I don't have to get them out of the car to go inside and pay.,"{'id': 2242695, 'body': 'Hi Caz,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:26:47Z'}",Love it,5,2017-12-01 03:34:00
8,False,Jayness33,App seems okay but why no link up with Velocity? 😒,"{'id': 1999578, 'body': ""Hi,\nthanks for your feedback, we're glad you like the app.\nFor the initial BPme launch, we introduced the fuel payment function to help customers save time and we are planning a whole range of exciting new offers to make our customers lives easier, so watch this space."", 'modified': '2017-12-12T05:35:28Z'}",No where to put Velocity Frequent Flyer,3,2017-12-01 04:33:47
9,False,Dragin276,"A very handy tool for all; quick, and
definitely very easy to use. 
An app like this makes life so
Much easier, a definite must have!","{'id': 2242696, 'body': 'Hi Dragin,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:27:12Z'}",Great,5,2017-12-01 05:25:40
10,False,東大人,The only reason I use BP is the ability to collect velocity point so if the App don’t allow this then it’s pretty useless for me.,"{'id': 1951639, 'body': ""Hi , For launch, we're focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. \n\nClaiming points and rewards aren't yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for  2018. Watch this space!"", 'modified': '2017-12-07T06:18:54Z'}",No link to velocity account,1,2017-12-01 13:03:21
11,False,nicknamesegat,Not very clever,"{'id': 1951602, 'body': ""We're sorry to hear you feel this way. Claiming points and rewards aren't yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for  2018. Watch this space!"", 'modified': '2017-12-07T06:16:18Z'}",No option to link Velocity,1,2017-12-02 07:30:17
12,False,Aussiegirl345,So easy to use.  You don't need to leave the car!! So fast & convenient.  Was in & out in less than 5 mins!  It was 37 degrees yesterday - perfect for when the little ones are with you!!,"{'id': 2242698, 'body': 'Hi Aussiegirl,\nWe thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:27:37Z'}",Parents - you need this app!! Always running late? You want this app!,5,2017-12-02 20:23:22
13,False,Ben_c77,"Great idea, but will only start using when I can get my velocity points...","{'id': 2242699, 'body': 'Hi Ben,\nWe thank you for your feedback and are pleased that you are happy with our offering. New features and functionality for BPme will be made available in the future.', 'modified': '2018-01-08T23:28:49Z'}",Velocity Points!,4,2017-12-03 08:37:42
14,False,MissyScot1,"So I'm one of those people who forgets to fill up then needs to when I'm in a hurry or late for something - I downloaded this app at home at the weekend and it literally took me 2 mins to arrive, fuel up and leave BP - gold!!! This is the best! More apps like this please :)","{'id': 2242703, 'body': 'Hi MissyScot, We thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:31:33Z'}",GOLD!! Time saving app,5,2017-12-03 22:06:05
15,False,SPITS,"If you buy fuel at BP to get Velocity points don’t bother with this app... it doesn’t have the facility to add your velocity card number so you miss out on points.

If the use of this app gave a decent discount on fuel to compensate for no velocity points or in store purchase discounts I would rate it higher but as it is all it’s doing is increasing the margin for BP with no financial incentive for the consumer...","{'id': 1951593, 'body': 'Hi , For launch, we\'re focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. \n\nClaiming points and rewards aren\'t yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for  2018. Watch this space!  ""', 'modified': '2017-12-07T06:14:57Z'}",No Velocity Points or Baseline Discount,1,2017-12-04 12:11:49
16,False,trysavemoney,"Absolutely no idea. Register two account, neither can login on my iPhone, but both can login using pc.... WTH.....","{'id': 1978410, 'body': ""Hi, this is definitely not supposed to happen and we'd love to work with you to get it figured out. Could please contact us at aucustcare@bp.com with the details of where it's getting stuck? Thanks"", 'modified': '2017-12-10T04:19:37Z'}",Cannot login...,1,2017-12-05 02:10:13
17,False,aussman80,Slow buggy and Amex recognised payment as potential fraud! Then they charged me an extra $3 recovery fee,"{'id': 1978413, 'body': ""We appreciate your patience as we refine a couple of things. We hope you'll stay with us!\nPlease contact us at aucustcare@bp.com so we can make this right for you."", 'modified': '2017-12-10T04:23:26Z'}",Junk,1,2017-12-05 05:42:29
18,False,Skeo,"The registration process is slow, complicated and so very buggy. I’ve yet to be able to log in, so I have no idea if the app is useful or not, I can’t use it.

Based on other reviews, no way to collect velocity points makes the app useless anyway.","{'id': 1951575, 'body': 'Hi, We\'re sorry to hear you had this experience. Our app developers are constantly working behind the scenes to ensure our customers have the best user experience.\n \nClaiming points and rewards aren\'t yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for 2018. Watch this space!  ""', 'modified': '2017-12-07T06:13:04Z'}",Failed at the first hurdle,1,2017-12-05 06:17:45
19,False,K.Chan0314,"No option to add velocity card to collect points, but let down.","{'id': 1951542, 'body': 'For launch, we\'re focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. \n\nClaiming points and rewards aren\'t yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for 2018. Watch this space!  ""', 'modified': '2017-12-07T06:10:24Z'}",No velocity,1,2017-12-05 08:17:52
20,False,What's for,"Dump app, registered both way with email and PayPal. Never able to login, brought me back to the log in page every time I hit LOG IN","{'id': 1978408, 'body': ""Hi, this is definitely not supposed to happen and we'd love to work with you to get it figured out. Could you please let us know at aucustcare@bp.com with the details of where it's getting stuck?"", 'modified': '2017-12-10T04:18:01Z'}",Dump,1,2017-12-05 10:06:28
21,False,Regular user 000,Logging in with verified username and password but logs me out if I don’t use a phone number? Why is this a mandatory field? Where is your privacy policy?,"{'id': 1985329, 'body': 'Hi there,\nBP takes online privacy and security seriously which is why you were sent a one-off code by SMS to validate your mobile phone number when you first set up the BPme app.  We also obtain a phone number so we can contact a customer via SMS in the case of a transaction being declined.  Please see our privacy policy:  https://www.bp.com/en_au/australia/privacy.html', 'modified': '2017-12-11T05:45:32Z'}",Why do you need mobile number verification on sign up?,1,2017-12-05 12:52:47
22,False,irishflightie,App may make it easy to pay fuel however if you wish to earn points on your FF virgin card you need to pay in store.  BP makes a big deal about this partnership so can’t see why you can’t add the card into the app.,"{'id': 1951529, 'body': 'For launch, we\'re focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. \n\nClaiming points and rewards aren\'t yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for 2018. Watch this space!  ""', 'modified': '2017-12-07T06:09:27Z'}",Cannot add Virgin Velocity card,1,2017-12-06 01:36:02
23,False,Grampians area,Great idea and concept except no option to earn or redeem Velocity points so still have to go into shop to pay,"{'id': 1978071, 'body': ""Hi, \nthanks for your feedback.\nClaiming points and rewards aren't yet available, but this is just the beginning for BPme; we have more exciting features, offers and rewards planned for  2018."", 'modified': '2017-12-10T00:54:32Z'}",No Velocity Points,2,2017-12-07 23:00:43
24,False,zigpip,"Tried using this app for the second time and continued to receive a technical error message, try again or pay in store. Not very helpful!
Additionally the registration process is painful with multiple security processes and you don’t earn velocity points.","{'id': 1979500, 'body': ""We’ve just launched so we expect an occasional issue may pop up at one of our stores – if you could send details about what store you were at to aucustcare@bp.com we will follow up.\nBPme has been developed to make life a little bit easier, but we still want to make sure your personal details are safe and correct, which is why there are a few steps in the registration process. \nWe hope you'll stick with us, we're just getting started and have many great things to come."", 'modified': '2017-12-10T08:30:42Z'}",Technical error,1,2017-12-09 04:56:28
