,userName,isEdited,title,rating,review,date,developerResponse
0,Ffatso,False,Perfect for me,5,"With small children in the car, this is perfect, and just works!",2017-12-04 13:17:34,
1,X123tv,False,Great app,5,Very easy to set up and use and looks very slick,2017-12-04 14:06:42,
2,Joe-coys,False,5 star *****,5,This app is better than sliced bread.,2017-12-04 19:45:18,
3,Sarulez,False,Great App,5,So easy to use and beats waiting in the queue to pay when it’s busy!,2017-12-04 22:38:04,
4,Salmon en Croot,False,Great app,5,Does exactly what I need it to do!,2017-12-05 13:48:54,
5,Flurberman,False,Omg amazing,5,Please allow me to pay via my Jaguar car touchscreen,2017-12-05 22:41:47,
6,Nicolas Cieslak,False,Can’t wait for more!,5,Quite amazed by how quick the pumps gets unlocked! Bye bye queuing to pay.,2017-12-09 10:05:23,
7,NeoNovice,False,It works!,5,It works!  Driving off without going into the shop was exciting 🙂. Bring on the coffee pre order option.,2017-12-12 22:01:13,
8,mr_zayar,False,Love the idea but avoid for now,5,"Using this app on the day of release was fabulous. But thing changed on next week. 

Now because of new changes the pump will stop at £XXX.50. For example if you fill up for £40.00 the pump will stop at £39.50 and It is absolutely fine. Bank hold the £40.00 till BP request. I thought my Barclays will released £39.50 to BP and will return £0.50 to me after 10 days.

However when BP requested for £39.50, which is the correct that I filled up for my car, my Barclays released £39.50 to BP but still holding £40 because thats the amount that i authorised from my phone. No idea when I will see that £40 back in my account hopefully after 10days later.

Please consider the following points before you use this app.

1) You will need £20 to fill up just £10 as Bank will hold up extra £10 for don’t know how long.

2) You make sure to check the pump before you authorised the payment. Because once you authorised bank will hold the money for at least 10 days even pump is not working. If you have extra money for the month this will not be issue but I have. 

love the idea but things are not smooth as I expected yet. BP should work with Apple Pay or Google Pay to avoid this problem.",2017-12-19 23:56:22,
9,Dugbugs,False,Couldn’t log in,1,Log in button blinks when I tap it but does nothing. Useless.,2017-12-20 04:35:58,"{'id': 2260555, 'body': 'Thanks for your review. We are sorry to hear that you have been having problems accessing the app. If you are able to send us some more details to bpmeuk@bp.com then one of our technical support team would be more than happy to have a look at your account. Thanks from the BPme team', 'modified': '2018-01-10T10:31:11Z'}"
10,ashroots,False,Best app I have ever used for my car,5,Normally arrive at petrol station and have to muck around getting my wallet and card and then wander into the shop. Now I don’t. It’s great.,2017-12-23 22:31:50,
