,date,isEdited,userName,rating,developerResponse,title,review
0,2019-10-08 06:07:22,False,Ferdi_in_Utrecht,5,,Snel weer door,Ideaal! Tanken en erna gelijk weer door. Mooie app en ook Freebees worden bijgehouden.
1,2019-10-29 12:01:57,False,Martin2408,5,,Supersnel tanken,"Bij BP Slagboom in Amsterdam geprobeerd, werkte erg goed! In de app kun je vinden op welke stations het al actief is. Helemaal handig dat je je BP Tankpas ook kunt koppelen."
2,2019-11-13 14:22:34,False,perikles1995,1,"{'id': 11908464, 'body': 'Beste Perikles1995, wat vervelend dat BPme niet werkt bij BP Helvoirt. We zullen dit onderzoeken en zorgen dat de app zo snel mogelijk net zo goed werkt als op onze andere stations! ', 'modified': '2019-11-18T13:16:23Z'}",Waardeloos,"Geprobeerd met BP Helvoirt en ondanks communicatie op voorterein, wordt door medewerker vertelt dat App niet werkt. Geen details en geen verdere info. Ga voortaan naar de overkant bij Esso. Daar werkt de Esso app tenminste prima."
3,2019-11-26 13:18:02,False,Wubby39,1,"{'id': 12293723, 'body': 'Beste Wubby39, bedankt voor je melding. We hebben deze bug direct gefixt in de laatste versie 1.62.2', 'modified': '2019-12-09T13:19:36Z'}",Kan een MasterCard niet toevoegen,"App ziet er mooi uit, nu nog testen… echter kan ik mijn MasterCard niet toevoegen omdat deze alleen via de app toegevoegd kan worden en ik de melding krijg voor de cookies instelling van mijn iPhone??
Dus dan maar niet de app gebruiken en gewoon betalen aan de kassa, heb je misschien ook nog een leuk gesprek😉."
4,2019-12-01 20:44:20,False,#typ een bijnaam,5,,Super simpel,"Vandaag voor het eerst geprobeerd op N57. Beetje onwennig nog maar werkt prima. Ik gebruik de app in combi met de BP tank card + freebees. Was ook voor pomp medewerker eerste keer dus we hebben even samen gekeken, bleek achteraf niet nodig te zijn."
5,2019-12-29 14:54:08,False,Oroblrambur104,5,"{'id': 12774191, 'body': 'Bij het menu ""account"" (rechtsonder) kun je alle BPme transacties van je account terug vinden! ', 'modified': '2020-01-07T15:17:45Z'}",Transactie historie,Het zou fijn zijn als je je transactie historie kan zien zoals in het browser variant van Bp.
6,2020-02-01 21:12:20,False,Merga,2,"{'id': 13261267, 'body': 'Beste Merga, vooralsnog ondersteunt deze app van BP alleen de BP Tankpas van BP en uiteraard alle andere consumenten betaalmethoden zoals iDEAL en credit cards. Wij onderzoeken de mogelijkheden om ook de MTC toe te voegen in de toekomst. ', 'modified': '2020-02-03T10:18:00Z'}",MTc,Ik mis de mogelijkheid om mijn Multi Tank card toe te voegen. Komt dit nog?
7,2020-02-03 16:05:37,True,DeVisdude,3,"{'id': 13261329, 'body': 'In de transactie historie (in het menu account) kun je al je BPme transacties terug vinden incl. FreeBees informatie. Bij het menu ""acties"" kun je je FreeBees-saldo en actuele aanbiedingen terug vinden. Voor een overzicht van alle FreeBees-transacties (incl. niet BPme transacties) kun je inloggen op www.freebees.nl ', 'modified': '2020-02-03T10:20:08Z'}",Freebees transancties overzicht,Ik mis een overzicht van ALLE Freebees transancties in de app
8,2020-02-03 18:29:48,False,Aquagenius,2,"{'id': 13308647, 'body': 'Vooralsnog ondersteunt deze app van BP alleen de BP Tankpas van BP en uiteraard alle andere consumenten betaalmethoden zoals iDEAL en credit cards. Wij onderzoeken de mogelijkheden om ook andere tankpassen toe te voegen in de toekomst.', 'modified': '2020-02-05T12:10:22Z'}",Alleen voor particulieren,Juist als ondernemer tank ik veel. Kan mijn tankpas van de lease maatschappij niet toevoegen....echt een misser.
9,2020-02-03 19:41:48,False,vzvxvbsjdhzjnsjjz,2,"{'id': 13308663, 'body': 'Als je belt met 0800 – 2727270 helpen we je graag verder!', 'modified': '2020-02-05T12:11:08Z'}",Kan niet inloggen,"Wanneer ik inlog, email en wachtwoord ingevuld. Kom ik weer uit op het scherm met registreren en inloggen..."
