,date,userName,isEdited,title,review,rating,developerResponse,review_basic_clean,sentiment,negative confidence score,neutral confidence score,positive confidence score
0,2019-10-08 06:07:22,Ferdi_in_Utrecht,False,Fast weather,ideal! Refuel and then go right back through. Nice app and also Freebees are kept.,5,,ideal Refuel go right back Nice app also Freebees kept,positive,0.0,0.01,0.99
1,2019-10-29 12:01:57,Martin2408,False,Super fast refuelling,"Tried at BP Slagboom in Amsterdam, worked very well! In the app you can find which stations it is already active on. Very handy that you can also link your BP Fuel Card.",5,,Tried BP Slagboom Amsterdam worked well In app find station already active Very handy also link BP Fuel Card,positive,0.01,0.01,0.98
2,2019-11-13 14:22:34,perikles1995,False,worthless,"Tried with BP Helvoirt and despite communication on the front, the employee tells us that App does not work. No details and no further info. From now on, go across the street from Esso. At least that's where the Esso app works fine.",1,"{'id': 11908464, 'body': 'Beste Perikles1995, wat vervelend dat BPme niet werkt bij BP Helvoirt. We zullen dit onderzoeken en zorgen dat de app zo snel mogelijk net zo goed werkt als op onze andere stations! ', 'modified': '2019-11-18T13:16:23Z'}",Tried BP Helvoirt despite communication front employee tell u App work No detail info From go across street Esso At least thats Esso app work fine,negative,0.82,0.02,0.16
3,2019-11-26 13:18:02,Wubby39,False,Unable to add a MasterCard,"App looks nice, still testing... however, I cannot add my MasterCard because it can only be added via the app and I get the notification for the cookies setting of my iPhone??. So then don't use the app and just pay at the checkout, you might also have a nice conversation😉.",1,"{'id': 12293723, 'body': 'Beste Wubby39, bedankt voor je melding. We hebben deze bug direct gefixt in de laatste versie 1.62.2', 'modified': '2019-12-09T13:19:36Z'}",App look nice still testing however I cannot add MasterCard added via app I get notification cooky setting iPhone So dont use app pay checkout might also nice conversation,negative,0.6,0.04,0.36
4,2019-12-01 20:44:20,#typ een bijnaam,False,Super simple,"First attempted today on N57. A little uncomfortable, but it works fine. I use the app in combination with the BP tank card + freebees. Was also for pump employee first time so we took a look together, turned out not to be necessary afterwards.",5,,First attempted today N A little uncomfortable work fine I use app combination BP tank card freebee Was also pump employee first time took look together turned necessary afterwards,positive,0.19,0.09,0.72
5,2019-12-29 14:54:08,Oroblrambur104,False,Transaction history,It would be nice if you could see your transaction history as in the browser variant of Bp.,5,"{'id': 12774191, 'body': 'Bij het menu ""account"" (rechtsonder) kun je alle BPme transacties van je account terug vinden! ', 'modified': '2020-01-07T15:17:45Z'}",It would nice could see transaction history browser variant Bp,positive,0.01,0.06,0.93
6,2020-02-01 21:12:20,Merga,False,MTc,I miss the opportunity to add my Multi Tank card. Is this coming?,2,"{'id': 13261267, 'body': 'Beste Merga, vooralsnog ondersteunt deze app van BP alleen de BP Tankpas van BP en uiteraard alle andere consumenten betaalmethoden zoals iDEAL en credit cards. Wij onderzoeken de mogelijkheden om ook de MTC toe te voegen in de toekomst. ', 'modified': '2020-02-03T10:18:00Z'}",I miss opportunity add Multi Tank card Is coming,negative,0.83,0.13,0.04
7,2020-02-03 16:05:37,DeVisdude,True,Freebees transancies overview,I miss an overview of ALL Freebees transancations in the app,3,"{'id': 13261329, 'body': 'In de transactie historie (in het menu account) kun je al je BPme transacties terug vinden incl. FreeBees informatie. Bij het menu ""acties"" kun je je FreeBees-saldo en actuele aanbiedingen terug vinden. Voor een overzicht van alle FreeBees-transacties (incl. niet BPme transacties) kun je inloggen op www.freebees.nl ', 'modified': '2020-02-03T10:20:08Z'}",I miss overview ALL Freebees transancations app,negative,0.99,0.0,0.01
8,2020-02-03 18:29:48,Aquagenius,False,For individuals only,"Especially as an entrepreneur, I refuel a lot. Can't add my fuel card from the leasing company.... Really a miss.",2,"{'id': 13308647, 'body': 'Vooralsnog ondersteunt deze app van BP alleen de BP Tankpas van BP en uiteraard alle andere consumenten betaalmethoden zoals iDEAL en credit cards. Wij onderzoeken de mogelijkheden om ook andere tankpassen toe te voegen in de toekomst.', 'modified': '2020-02-05T12:10:22Z'}",Especially entrepreneur I refuel lot Cant add fuel card leasing company Really miss,negative,1.0,0.0,0.0
9,2020-02-03 19:41:48,vzvxvbsjdhzjnsjjz,False,Unable to log in,"When I log in, email and password filled in. I come back to the screen with registration and login...",2,"{'id': 13308663, 'body': 'Als je belt met 0800 – 2727270 helpen we je graag verder!', 'modified': '2020-02-05T12:11:08Z'}",When I log email password filled I come back screen registration login,neutral,0.01,0.99,0.0
10,2020-02-03 21:12:09,WilliamsNL,False,log in? impossible,"After 3 password resets, making a password manager impossible and not being able to use special characters and 7 login attempts specified it. There's room for improvement.",1,"{'id': 13308686, 'body': 'Bekijk onze overzichtelijke instructievideo op:  https://www.bp.com/nl_nl/netherlands/home/producten-en-services/bpme/bpme-voor-ios.html Mocht het dan alsnog niet lukken kun je altijd contact opnemen met onze klantenservice, zij helpen je graag verder! ', 'modified': '2020-02-05T12:12:37Z'}",After password reset making password manager impossible able use special character login attempt specified Theres room improvement,mixed,0.51,0.04,0.45
11,2020-02-04 14:24:02,Mbe88,False,Lacks functionality,Nice but totally useless for the business rider as there is no option to add a multi tank card.,2,"{'id': 13308689, 'body': 'Vooralsnog ondersteunt deze app van BP alleen de BP Tankpas van BP en uiteraard alle andere consumenten betaalmethoden zoals iDEAL en credit cards. Wij onderzoeken de mogelijkheden om ook andere tankpassen toe te voegen in de toekomst.', 'modified': '2020-02-05T12:12:54Z'}",Nice totally useless business rider option add multi tank card,negative,0.99,0.0,0.01
