,developerResponse,review,isEdited,userName,date,rating,title
0,"{'id': 11264969, 'body': 'Hi NFL supporter - Thank you for providing feedback on BPme Rewards. We are sorry that you are unhappy with the new BPme Rewards program. We take you feedback seriously and will continue to look for ways to improve the experience for our best consumers.\n', 'modified': '2019-10-15T15:00:12Z'}","Filter does not include ethanol free locations.  

Delete",False,NFL supporter,2018-05-09 03:42:47,1,Filter does not include ethanol free locations.
1,"{'id': 11264961, 'body': 'Hi MaizenBlu3 - Thank you for providing feedback on BPme Rewards. We take your feedback seriously and will continue to look for ways to improve the experience for our best consumers.\n\nIf you download the new App and register for the new BPme Rewards program, you will have the option in the App to link a credit or debit card of your choice to your new rewards account. This feature provides you the option to swipe this same card at the pump without opening the App, and you will automatically receive your rewards and have the transaction credited to your monthly fuel spend.', 'modified': '2019-10-15T15:00:00Z'}",I wish it showed the gas prices of the different locations and was able to automatically track purchases made with the loaded cards. None of the BP stations in a 40 mile radius are equipped with mobile pay so the app is useless for me unless these changes are me.,False,MaizenBlu3,2018-05-12 11:40:51,1,Needs more features
2,"{'id': 11264957, 'body': 'Hi gshhhg - Thank you for providing feedback on BPme Rewards. We take your feedback seriously and will continue to look for ways to improve the experience for our best consumers. If you download the new App and register for the new BPme Rewards program, you will have the option in the App to link a credit or debit card of your choice to your new rewards account. This feature provides you the option to swipe this same card at the pump without opening the App, and you will automatically receive your rewards and have the transaction credited to your monthly fuel spend.\n', 'modified': '2019-10-15T14:59:46Z'}","Do not even download this app no gas station takes payments on Mobiles. And I went to 3 gas stations, app is terrible",False,gshhhg,2018-05-14 17:28:10,1,Don’t
3,"{'id': 11264950, 'body': 'Hi EBdiesel08 - Thank you for providing feedback on BPme Rewards. We very much value your business and hope to keep you as a loyal consumer. We are sorry that you are unhappy with the new BPme Rewards program. We take your feedback seriously and will continue to look for ways to improve the experience for our best consumers.\n', 'modified': '2019-10-15T14:59:33Z'}","Shell’s app supports it. Smh. 

6/11/18: Still no iPhone X display support.",False,EBdiesel08,2018-06-11 17:43:39,1,No iPhone X full display support
4,"{'id': 11535024, 'body': ""Hi Galarnyk - Thank you for providing feedback on BPme Rewards. We very much value your business and we take your feedback seriously. We'll continue to look for ways to improve the experience for our best consumers.\r Thank you BP\n"", 'modified': '2019-10-29T14:33:57Z'}","It took me a few minutes of navigating the app to figure out that I could view all gas stations on a map- this should be the first thing I can see when I enter the app (have a button really obvious- rather than have to find it as the fifth option down after clicking on the top left hamburger navigation button). 

It would also be really useful to see a price spread between locations that are nearby.

Note that when creating an account we are asked to provide email address, First name, last name, and zip code. Why should I have to provide all this upon first opening the app, can't this be obtained easily from entering credit card info?

Lastly, the button shown to customer ""Fill up today to start earning rewards"" spins with a loading message when clicked and then goes back to default message- no idea what purpose this serves other than to think it is broken. 

All in all I think this app could be really useful but requires some user experience consideration if it is to be adopted by the masses, or at least some first time download account credit or credit for referring other users to use the app.",False,galarnyk,2018-06-24 21:13:41,4,Ok- a few small tweaks would be useful.
5,"{'id': 11264946, 'body': 'Hi Yevled - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\n \n\n', 'modified': '2019-10-15T14:59:19Z'}","I have tried countless times to log in, but I always get a “timed out” message.  Also, needs better.  When it was working, needed better integration with BP rewards.",False,Yevled,2018-06-29 16:41:32,1,Cannot log in
6,"{'id': 11264940, 'body': 'Hi KamD450 - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\n', 'modified': '2019-10-15T14:59:08Z'}",This app WILL NOT LET ME LOG IN. I have to go the the desktop site just to check everything I need to do. I use the card and the gas station faithfully and would LOVE this app to go hand and hand but it doesn’t. Time to delete!!!,False,KamD450,2018-07-01 01:21:50,1,Complete trash
7,"{'id': 11535044, 'body': ""Hi don't buy glu apps - Thank you for providing feedback on BPme Rewards. We very much value your business and hope to keep you as a loyal consumer. Recently, The Driver Rewards program has ended, and we launched a new rewards program on 10/1/2019 called BPme Rewards. If you would like to participate in the new program, you can download the BPme mobile app from the Apple or Google Play store to get started. By signing up for the new program, you will start getting 5 cents off per gallon on every fuel purchase through next month!\r Thank you BP\n"", 'modified': '2019-10-29T14:36:06Z'}",App was working fine and I can get in on the website fine but now whenever I try to login through the app it wants me to change my password and won’t let me do anything else,False,don't buy glu apps,2018-07-19 15:31:36,2,Login issues
8,"{'id': 11535141, 'body': 'Hi JCCly - Thank you for providing feedback on BPme Rewards. We very much value your business and hope to keep you as a loyal consumer. Recently, The Driver Rewards program has ended, and we launched a new rewards program on 10/1/2019 called BPme Rewards. If you would like to participate in the new program, you can download the BPme mobile app from the Apple or Google Play store to get started. By signing up for the new program, you will start getting 5 cents off per gallon on every fuel purchase through next month!\r Also, BPme currently accepts PayPal and all major credit and debit cards including BP credit cards, Visa, Mastercard, AMEX, and Discover. Thank you BP', 'modified': '2019-10-29T14:42:55Z'}","Why have an App that doesn’t allow you to use a BP Credit Card.  Pretty much makes the app worthless for me.

Other features are great.",False,JCCly,2018-08-11 16:05:28,2,Doesn’t Connect to BP Credit Card
9,"{'id': 11264937, 'body': 'Hi butubot - Thank you for providing feedback on BPme Rewards. We very much value your business and hope to keep you as a loyal consumer. We are sorry that you are unhappy with the new BPme Rewards program. We take your feedback seriously and will continue to look for ways to improve the experience for our best consumers.\n\n', 'modified': '2019-10-15T14:58:57Z'}","Unlike the Shell app which is available in every Shell station I visit in NYC, LI and NJ, there’s  less than a handful of BP stations in NYC that support the BPme app — 1 in Brooklyn, 1 in Queens and 3 in Yonkers. None that I could find in Bergen County NJ. None in Nassau and Suffolk Counties in LI.",False,butubot,2018-08-15 02:31:07,1,Useless. Very few BP stations support app.
