,reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOHOsehQF9F4NmfEEFGWvoOTNhI6a_vA4FINWbHbdF40TPAFdrHfDFr3sWHtLFE61vV3r5u3Pt-30UdP,A Google user,This is brilliant!!!!!!!!,5,0,1.13.5,2017-12-04 22:08:26,,
1,gp:AOqpTOFPDQzxj8rbmjqeWtyZ2lGWRIUITxRb0hqLIjJ9y44t0wECPY8ohocGdw5f7sADUuMTKSKj0oItiuy6,Dan Muir,"Flawless 👍 no issues from setting up to using the app for fuel purchase. App is very clean and tidy (apart from the initial load screen, could of used a higher resolution picture). I'm very impressed and looking forward to future updates",5,2,1.13.5,2017-12-05 01:18:59,,
2,gp:AOqpTOEmQnlXvTHisXOK43wmzqXrOYE_aC9t_YTE8Rq2m6gUdyvRbgld9r0t67n36RLZzLM2Mr_tZMj7lvMS,martin Atkins,Amazing app worked perfectly simple as pick the pump your at choose how much fuel you need and away you go and you don't go over the amount you requested absolutely brilliant technology,5,0,1.13.5,2017-12-06 23:55:06,,
3,gp:AOqpTOFmFU6S2lE9KAHPHIWyTYlkMuFscWe5ajHCf3V75jQhK127v2J1zeWd1A-PNZ5wL8LWaYYhdEheO9Hw,Natasha Pereira,Great app. But it does not allow me to load the BP fuel card on the app. When will I be able to buy fuel on the fuel card with this app..,5,0,1.13.5,2017-12-07 22:40:46,,
4,gp:AOqpTOH88rQwjWBQpgv4OUkfx_TWHOXtp_BOXVDrfNbHMxiFLhQr_8IH4nXLHZ3NoOYqCUXkj_WhUxmLz264,A Google user,I downloaded the app set up an account and it won't let me get past selecting my question I don't understand why it just won't let me choose one,1,0,1.13.5,2017-12-08 07:24:39,"Hi there, we are really sorry you have been experiencing issues. We have identified a very small number of accounts that had an issue during set-up. Our tech support team have reset all of these accounts so you should be good to get in now. If you are still having problems then please get in touch at bpmeUK@bp.com. Thanks from the BPme team",2017-12-08 15:57:55
5,gp:AOqpTOF1SVr1cR_fupzj1jZNPww0Qlsgl6xLJg8mbsXpeqHWdTrYq6gHseXGduVl1H6VAX1zuZUO7qiPUOQV,dimitra lekati,"Absolutely flawless! Very easy set up, user friendly and fast!",5,0,1.13.5,2017-12-13 05:31:01,,
6,gp:AOqpTOFxQSvfZs5e7_ogTaDhW0Yk3laRmZcu3yqtm6taVQ2BOCci-Ckgjt7kTHPKKMCJ-JAokL1CkqIai8VL,Edoardo Boccini,"App works good, just sometimes can't fill up to the selected amount",4,1,1.13.5,2017-12-14 06:58:26,"Hi there Edoardo, we are really sorry you have had trouble adding a card. Just to let you know our tech team have looked in to this and have fixed the issue. If you wouldn't mind having another go then we are confident this should now be working. Many thanks. The BPme team",2017-12-05 00:15:39
7,gp:AOqpTOGghOpXxphyxZ-Z9NsBx0ssc3cfOTjnJWleefTaXJUj_MK38lBaeDO8WlH_H1_yILy1AVcrwlYkisU0,April Simon,Do not get this app I repeat do not install as they double charge you,1,3,1.14.0,2017-12-16 17:36:26,"Hello April, thanks for taking the time to review BPme. We are sorry that you are experiencing some issues with our app. Please rest assured BPme does not double charge for any fuel purchased. If you are able to drop an email to bpmeuk@bp.com with some more details we will investigate this further for you. Many thanks from the BPme team",2017-12-20 17:47:53
8,gp:AOqpTOGSiR6xZ4COfNkUsOQEGewCEjqaBH75hxOrC_fB7GbzASvyJ0irWwbUmN6Ow19xeFzfLHaVCXvWW274,Robin Yellow,"Well it worked. The sign up process was a little tedious. I tried it in my local bp station and the payment worked first time. You just need to enter the pump number which is helpfully displayed on a board at eye level, so you don't need to get out of the car.    I encountered two problems. 1. The fingerprint authentication didn't work, it just sits there spinning a plate. 2. I couldn't register my nectar card. I couldn't remember the password I created when I set it up. Oh well.",4,4,1.14.0,2017-12-20 05:00:08,,
9,gp:AOqpTOERVzTHyYtkci745c3MvuF0HHVZm-p6wa3eYcmU0JyDkFjlXgCZQapLkVgALiCZ9n9GE6RrpmLykCIP,Terence Kirwan,Do not receive confirmation emails when registering. should be tested on all platforms before released,1,0,1.14.0,2017-12-29 07:10:10,Hello Mr Kirwan. Thanks for your review and sorry you are having trouble accessing BPme. If you are able to contact us at bpmeuk@bp.com we can look at re-setting your account which should resolve this log-in issue. Thanks from the BPme team,2018-01-10 18:35:04
10,gp:AOqpTOGEAtBkZD_ht_LXJMnkuyvczviS9eQrC8_iWyzAVs90zObArTsxrCeFymoBWg_ka1ALvCFPJqFE8AxV,Mohammad Yasir Alvi,The app is not working it says technical error,3,0,1.14.0,2017-12-31 04:03:50,"Hi, is it working now with the latest update? If you've got the latest version and it's still not working, and you wish to speak to someone, please get in touch at BPmeUK@bp.com or call 0800 402402. Thanks, ^AB",2018-06-22 20:54:38
