,Unnamed: 0,date,reviewId,userName,reviewCreatedVersion,content,thumbsUpCount,score,repliedAt,developerResponse,content_basic_clean,sentiment,negative confidence score,neutral confidence score,positive confidence score
0,0,2020-01-26 19:02:48,gp:AOqpTOEkmldlXLcEpj0Mbo2_ZzRjdcMBb7MOj0z5dUgQophek2SDEI6xg9fxdgTeDI28Y1gasg-r6kpV_ONs1g,Tahir Malik,1.62.1,Works perfectly and quickly!,1,5,,,Works perfectly quickly,positive,0.0,0.0,1.0
1,1,2020-02-02 08:16:57,gp:AOqpTOEpkc3QgGIYPjksPB5FaW-N1xw-T0RCEQg_NhBc9aAPb1qZoFhhGiFVTLNMCnTVOSXjTQS7O0jXrYVRYg,Henk Vermeulen,1.62.1,Bit drowsy.... It is precisely the unmanned petrol stations that are not supported.... 😳,6,3,2020-02-03 18:24:51,Beste Henk. BPme is momenteel alleen beschikbaar bij de bemande stations van BP. In de toekomst zal het concept ook worden aangeboden op de onbemande stations.,Bit drowsy It precisely unmanned petrol station supported,negative,1.0,0.0,0.0
2,2,2020-02-03 23:48:29,gp:AOqpTOGkzgtvvrUpyuo9jv6KqHy_htUFdkL4mM4yfH4-z3NvfvOvNM1ZBSH9F80oX8y2xmlaDYoQ5vlpVaiT8A,Lorenzo Wallerlei,1.62.1,Gas station selected and navigated to find it's not a BP station :) to the next bp station where the pump was not released until 2x... :) Ended up refueling at another pump. sin...,7,1,2020-02-05 23:26:28,Wat vervelend Lorenzo. Je kunt in de app zien welke BP stations BPme ondersteunen.,Gas station selected navigated find BP station next bp station pump released x Ended refueling another pump sin,negative,0.99,0.0,0.01
3,3,2020-02-05 18:00:20,gp:AOqpTOGHROAxkoHsSfT-y04UFkUi4efiLz9hhUSDUGp1tJQIX2nX7JeBYJmdgUBedVS5tKl5CSfoudQ31xXO9g,Christopher Jambor,1.62.1,"What a jerk app. Password set, you will get error message after logging in ""that something has gone wrong"". Password reset system lingers on confirm. Are you navigated to a screen to display old and new password? Half-baked app released too quickly.",3,1,2020-02-10 20:50:59,"Beste Christoph, helaas hebben wij op 5 februari een korte storing gehad. De app werkt inmiddels weer naar behoren!",What jerk app Password set get error message logging something gone wrong Password reset system lingers confirm Are navigated screen display old new password Halfbaked app released quickly,negative,0.8,0.18,0.02
4,4,2020-02-05 18:51:38,gp:AOqpTOHbm1O-Emv5fpm5PQR2G0T-ZZvap7SMoRAy91DV8L7HWeN2yJUAtBnT6jb30HPqEuxJ9mc1YvvKNr1LPA,Guido Robben,1.62.1,Something went wrong!!!,0,1,2020-02-10 20:50:44,"Beste Guido, helaas hebben wij op 5 februari een korte storing gehad. De app werkt inmiddels weer naar behoren!",Something went wrong,negative,1.0,0.0,0.0
5,5,2020-02-14 00:06:21,gp:AOqpTOHWk4F4kJF1FT40q-gbJmBLVNGK0tBf-5j1ZCafhV7F7vbkL-XMNOlwC2-aGuEBz-sFGit4Pf1dzMEMQw,WP Chow,1.62.1,"Can't find a BP station in ""Refuel"". Used several times, but unfortunately. Then just normal refueling and checkout.",0,1,2020-02-27 23:29:11,"Jammer dat het niet lukte, schroom niet contact op te nemen met de klantenservice-&gt; 0800-2727270",Cant find BP station Refuel Used several time unfortunately Then normal refueling checkout,negative,1.0,0.0,0.0
6,6,2020-02-21 21:30:53,gp:AOqpTOEkUsC-izghHqdnXne2mi-FEJTTwj5H2iC1YrtjhzsM6Pz18KMfNh6Ol9Ikk4II77C1rXD52AMOiwGzFg,Peter Razenberg,1.62.2,"To add a BP as a means of payment, an activation code is required from my employer. This one makes no sense to facilitate this so the app has no added value for me at the moment.",0,3,,,To add BP mean payment activation code required employer This one make sense facilitate app added value moment,negative,0.99,0.01,0.0
7,7,2020-02-22 07:20:34,gp:AOqpTOG00R2YjLHkkc4m56zpNZ4-REvHWZDmmWoGO1snZmMaXp-VH7XLg_k7NcEWvhPFtV3xX34sOKrZ-n3s8g,Damien Roussos,1.62.2,It would be nice to be able to put gas after I get charged. Now I just pay without putting gas and wait to get a refund the week after ( for the 2nd time) This really does not make it any easier though.,18,1,,,It would nice able put gas I get charged Now I pay without putting gas wait get refund week nd time This really make easier though,mixed,0.36,0.01,0.63
8,8,2020-02-22 22:59:48,gp:AOqpTOHtOsLH55MUGbOEcj-mBws4RKG893H4zVrjN9UZG3TxCDBk73YYEh0x_b4TwVxSTPYv9jFd-Lv5gk-AEA,Michiel Boon,1.62.2,crashed samsung s10. not exactly unknown phone,1,2,,,crashed samsung exactly unknown phone,negative,0.65,0.32,0.03
9,9,2020-02-27 19:28:10,gp:AOqpTOGvtatmuSctEVXwFJlDxysM1_ypodvzHMAafopSoLGQLri3-329Fpw-_13QJ9rGM4uvmYO_filR3MA5ug,Angelo Sleegers,,"App requires a secret limited from several options, like ""what is the name of your first pet"". This is criminally insane insecure anno 2020. Could have worked in 1986...",1,1,,,App requires secret limited several option like name first pet This criminally insane insecure anno Could worked,negative,0.97,0.02,0.01
